,condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3
63,further,23a1e8c79e67_25,trial_18_pug,trial_21_woven,trial_24_white,trial_29_sparrow
64,further,23a1e8c79e67_26,trial_21_woven,trial_18_pug,trial_24_white,trial_29_sparrow
65,further,77cb88a647c4_1,trial_30_doberman,trial_15_nightingale,trial_31_bluesedan,trial_5_inlay
66,closer,77cb88a647c4_2,trial_4_straight,trial_21_woven,trial_22_leather,trial_32_squat
67,further,77cb88a647c4_8,trial_13_tomtit,trial_17_redsport,trial_28_chihuahua,trial_8_knob
68,closer,77cb88a647c4_12,trial_22_leather,trial_21_woven,trial_32_squat,trial_4_straight
69,further,77cb88a647c4_13,trial_15_nightingale,trial_30_doberman,trial_31_bluesedan,trial_5_inlay
70,further,77cb88a647c4_15,trial_5_inlay,trial_15_nightingale,trial_30_doberman,trial_31_bluesedan
71,further,77cb88a647c4_20,trial_8_knob,trial_13_tomtit,trial_17_redsport,trial_28_chihuahua
72,further,77cb88a647c4_21,trial_28_chihuahua,trial_13_tomtit,trial_17_redsport,trial_8_knob
73,closer,77cb88a647c4_23,trial_21_woven,trial_22_leather,trial_32_squat,trial_4_straight
74,further,77cb88a647c4_26,trial_17_redsport,trial_13_tomtit,trial_28_chihuahua,trial_8_knob
75,closer,77cb88a647c4_27,trial_32_squat,trial_21_woven,trial_22_leather,trial_4_straight
76,further,77cb88a647c4_28,trial_31_bluesedan,trial_15_nightingale,trial_30_doberman,trial_5_inlay
77,further,aad9b5ac4695_1,trial_8_knob,trial_12_bluejay,trial_31_bluesedan,trial_7_basset
78,further,aad9b5ac4695_2,trial_7_basset,trial_12_bluejay,trial_31_bluesedan,trial_8_knob
79,closer,aad9b5ac4695_3,trial_9_brown,trial_10_beetle,trial_1_bluesport,trial_24_white
80,further,aad9b5ac4695_5,trial_5_inlay,trial_13_tomtit,trial_2_bullmastiff,trial_3_redantique
81,further,aad9b5ac4695_9,trial_3_redantique,trial_13_tomtit,trial_2_bullmastiff,trial_5_inlay
82,closer,aad9b5ac4695_10,trial_24_white,trial_10_beetle,trial_1_bluesport,trial_9_brown
83,further,aad9b5ac4695_14,trial_13_tomtit,trial_2_bullmastiff,trial_3_redantique,trial_5_inlay
84,closer,aad9b5ac4695_18,trial_19_pigeon,trial_20_cuckoo,trial_26_crow,trial_29_sparrow
85,closer,aad9b5ac4695_19,trial_20_cuckoo,trial_19_pigeon,trial_26_crow,trial_29_sparrow
86,closer,aad9b5ac4695_20,trial_10_beetle,trial_1_bluesport,trial_24_white,trial_9_brown
87,closer,aad9b5ac4695_21,trial_29_sparrow,trial_19_pigeon,trial_20_cuckoo,trial_26_crow
88,closer,aad9b5ac4695_23,trial_26_crow,trial_19_pigeon,trial_20_cuckoo,trial_29_sparrow
89,further,aad9b5ac4695_25,trial_31_bluesedan,trial_12_bluejay,trial_7_basset,trial_8_knob
90,further,aad9b5ac4695_27,trial_2_bullmastiff,trial_13_tomtit,trial_3_redantique,trial_5_inlay
91,further,aad9b5ac4695_28,trial_12_bluejay,trial_31_bluesedan,trial_7_basset,trial_8_knob
92,closer,aad9b5ac4695_29,trial_1_bluesport,trial_10_beetle,trial_24_white,trial_9_brown
93,further,e202993c654f_3,trial_8_knob,trial_26_crow,trial_3_redantique,trial_7_basset
94,further,e202993c654f_5,trial_31_bluesedan,trial_19_pigeon,trial_23_weimaraner,trial_5_inlay
95,further,e202993c654f_6,trial_3_redantique,trial_26_crow,trial_7_basset,trial_8_knob
96,further,e202993c654f_8,trial_13_tomtit,trial_16_bloodhound,trial_27_sling,trial_6_hatchback
97,further,e202993c654f_9,trial_6_hatchback,trial_13_tomtit,trial_16_bloodhound,trial_27_sling
98,further,e202993c654f_11,trial_23_weimaraner,trial_19_pigeon,trial_31_bluesedan,trial_5_inlay
99,further,e202993c654f_14,trial_16_bloodhound,trial_13_tomtit,trial_27_sling,trial_6_hatchback
100,further,e202993c654f_15,trial_7_basset,trial_26_crow,trial_3_redantique,trial_8_knob
101,further,e202993c654f_21,trial_19_pigeon,trial_23_weimaraner,trial_31_bluesedan,trial_5_inlay
102,further,e202993c654f_25,trial_27_sling,trial_13_tomtit,trial_16_bloodhound,trial_6_hatchback
103,further,e202993c654f_26,trial_26_crow,trial_3_redantique,trial_7_basset,trial_8_knob
104,further,e202993c654f_32,trial_5_inlay,trial_19_pigeon,trial_23_weimaraner,trial_31_bluesedan
105,closer,1b295ff55c49_5,trial_15_nightingale,trial_13_tomtit,trial_20_cuckoo,trial_26_crow
106,closer,1b295ff55c49_6,trial_18_pug,trial_23_weimaraner,trial_25_goldenretriever,trial_28_chihuahua
107,closer,1b295ff55c49_14,trial_13_tomtit,trial_15_nightingale,trial_20_cuckoo,trial_26_crow
108,closer,1b295ff55c49_16,trial_23_weimaraner,trial_18_pug,trial_25_goldenretriever,trial_28_chihuahua
109,closer,1b295ff55c49_19,trial_20_cuckoo,trial_13_tomtit,trial_15_nightingale,trial_26_crow
110,closer,1b295ff55c49_23,trial_26_crow,trial_13_tomtit,trial_15_nightingale,trial_20_cuckoo
111,closer,1b295ff55c49_31,trial_28_chihuahua,trial_18_pug,trial_23_weimaraner,trial_25_goldenretriever
112,further,8d7c0ee48a43_3,trial_30_doberman,trial_13_tomtit,trial_3_redantique,trial_8_knob
113,further,8d7c0ee48a43_4,trial_1_bluesport,trial_20_cuckoo,trial_5_inlay,trial_7_basset
114,further,8d7c0ee48a43_5,trial_5_inlay,trial_1_bluesport,trial_20_cuckoo,trial_7_basset
115,further,8d7c0ee48a43_7,trial_2_bullmastiff,trial_26_crow,trial_31_bluesedan,trial_4_straight
116,further,8d7c0ee48a43_8,trial_20_cuckoo,trial_1_bluesport,trial_5_inlay,trial_7_basset
117,closer,8d7c0ee48a43_9,trial_18_pug,trial_16_bloodhound,trial_23_weimaraner,trial_28_chihuahua
118,closer,8d7c0ee48a43_11,trial_28_chihuahua,trial_16_bloodhound,trial_18_pug,trial_23_weimaraner
119,further,8d7c0ee48a43_13,trial_7_basset,trial_1_bluesport,trial_20_cuckoo,trial_5_inlay
120,further,8d7c0ee48a43_17,trial_8_knob,trial_13_tomtit,trial_30_doberman,trial_3_redantique
121,further,8d7c0ee48a43_18,trial_4_straight,trial_26_crow,trial_2_bullmastiff,trial_31_bluesedan
122,closer,8d7c0ee48a43_19,trial_23_weimaraner,trial_16_bloodhound,trial_18_pug,trial_28_chihuahua
123,further,8d7c0ee48a43_26,trial_26_crow,trial_2_bullmastiff,trial_31_bluesedan,trial_4_straight
124,further,8d7c0ee48a43_27,trial_31_bluesedan,trial_26_crow,trial_2_bullmastiff,trial_4_straight
125,further,8d7c0ee48a43_30,trial_13_tomtit,trial_30_doberman,trial_3_redantique,trial_8_knob
126,further,8d7c0ee48a43_31,trial_3_redantique,trial_13_tomtit,trial_30_doberman,trial_8_knob
127,closer,8d7c0ee48a43_32,trial_16_bloodhound,trial_18_pug,trial_23_weimaraner,trial_28_chihuahua
128,closer,26e2e239460a_5,trial_5_inlay,trial_21_woven,trial_27_sling,trial_32_squat
129,further,26e2e239460a_6,trial_6_hatchback,trial_20_cuckoo,trial_22_leather,trial_23_weimaraner
130,further,26e2e239460a_8,trial_8_knob,trial_12_bluejay,trial_24_white,trial_25_goldenretriever
131,further,26e2e239460a_12,trial_12_bluejay,trial_24_white,trial_25_goldenretriever,trial_8_knob
132,closer,26e2e239460a_18,trial_18_pug,trial_16_bloodhound,trial_28_chihuahua,trial_2_bullmastiff
133,further,26e2e239460a_20,trial_20_cuckoo,trial_22_leather,trial_23_weimaraner,trial_6_hatchback
134,closer,26e2e239460a_21,trial_21_woven,trial_27_sling,trial_32_squat,trial_5_inlay
135,further,26e2e239460a_22,trial_22_leather,trial_20_cuckoo,trial_23_weimaraner,trial_6_hatchback
136,further,26e2e239460a_23,trial_23_weimaraner,trial_20_cuckoo,trial_22_leather,trial_6_hatchback
137,further,26e2e239460a_24,trial_24_white,trial_12_bluejay,trial_25_goldenretriever,trial_8_knob
138,further,26e2e239460a_25,trial_25_goldenretriever,trial_12_bluejay,trial_24_white,trial_8_knob
139,closer,26e2e239460a_32,trial_32_squat,trial_21_woven,trial_27_sling,trial_5_inlay
140,further,7d349722b687_2,trial_19_pigeon,trial_4_straight,trial_7_basset,trial_9_brown
141,further,7d349722b687_3,trial_4_straight,trial_19_pigeon,trial_7_basset,trial_9_brown
142,further,7d349722b687_4,trial_1_bluesport,trial_26_crow,trial_2_bullmastiff,trial_5_inlay
143,further,7d349722b687_6,trial_9_brown,trial_19_pigeon,trial_4_straight,trial_7_basset
144,further,7d349722b687_7,trial_18_pug,trial_11_waiting,trial_24_white,trial_29_sparrow
145,further,7d349722b687_9,trial_29_sparrow,trial_11_waiting,trial_18_pug,trial_24_white
146,further,7d349722b687_12,trial_10_beetle,trial_14_robin,trial_30_doberman,trial_8_knob
147,closer,7d349722b687_13,trial_13_tomtit,trial_12_bluejay,trial_15_nightingale,trial_20_cuckoo
148,closer,7d349722b687_15,trial_28_chihuahua,trial_16_bloodhound,trial_23_weimaraner,trial_25_goldenretriever
149,further,7d349722b687_16,trial_7_basset,trial_19_pigeon,trial_4_straight,trial_9_brown
150,further,7d349722b687_17,trial_14_robin,trial_10_beetle,trial_30_doberman,trial_8_knob
151,further,7d349722b687_18,trial_26_crow,trial_1_bluesport,trial_2_bullmastiff,trial_5_inlay
152,further,7d349722b687_20,trial_30_doberman,trial_10_beetle,trial_14_robin,trial_8_knob
153,further,7d349722b687_21,trial_2_bullmastiff,trial_1_bluesport,trial_26_crow,trial_5_inlay
154,closer,7d349722b687_22,trial_20_cuckoo,trial_12_bluejay,trial_13_tomtit,trial_15_nightingale
155,further,7d349722b687_23,trial_8_knob,trial_10_beetle,trial_14_robin,trial_30_doberman
156,closer,7d349722b687_24,trial_25_goldenretriever,trial_16_bloodhound,trial_23_weimaraner,trial_28_chihuahua
157,further,7d349722b687_25,trial_5_inlay,trial_1_bluesport,trial_26_crow,trial_2_bullmastiff
158,closer,7d349722b687_26,trial_16_bloodhound,trial_23_weimaraner,trial_25_goldenretriever,trial_28_chihuahua
159,closer,7d349722b687_27,trial_12_bluejay,trial_13_tomtit,trial_15_nightingale,trial_20_cuckoo
160,further,7d349722b687_28,trial_24_white,trial_11_waiting,trial_18_pug,trial_29_sparrow
161,further,7d349722b687_30,trial_11_waiting,trial_18_pug,trial_24_white,trial_29_sparrow
162,closer,7d349722b687_32,trial_15_nightingale,trial_12_bluejay,trial_13_tomtit,trial_20_cuckoo
163,closer,331e286811d1_2,trial_10_beetle,trial_1_bluesport,trial_31_bluesedan,trial_6_hatchback
164,further,331e286811d1_3,trial_19_pigeon,trial_24_white,trial_30_doberman,trial_4_straight
165,further,331e286811d1_4,trial_3_redantique,trial_11_waiting,trial_20_cuckoo,trial_7_basset
166,closer,331e286811d1_5,trial_26_crow,trial_12_bluejay,trial_14_robin,trial_29_sparrow
167,closer,331e286811d1_9,trial_12_bluejay,trial_14_robin,trial_26_crow,trial_29_sparrow
168,further,331e286811d1_12,trial_9_brown,trial_13_tomtit,trial_21_woven,trial_2_bullmastiff
169,closer,331e286811d1_13,trial_6_hatchback,trial_10_beetle,trial_1_bluesport,trial_31_bluesedan
170,further,331e286811d1_14,trial_24_white,trial_19_pigeon,trial_30_doberman,trial_4_straight
171,closer,331e286811d1_15,trial_14_robin,trial_12_bluejay,trial_26_crow,trial_29_sparrow
172,further,331e286811d1_17,trial_20_cuckoo,trial_11_waiting,trial_3_redantique,trial_7_basset
173,further,331e286811d1_19,trial_4_straight,trial_19_pigeon,trial_24_white,trial_30_doberman
174,further,331e286811d1_22,trial_21_woven,trial_13_tomtit,trial_2_bullmastiff,trial_9_brown
175,further,331e286811d1_23,trial_2_bullmastiff,trial_13_tomtit,trial_21_woven,trial_9_brown
176,closer,331e286811d1_24,trial_29_sparrow,trial_12_bluejay,trial_14_robin,trial_26_crow
177,further,331e286811d1_25,trial_11_waiting,trial_20_cuckoo,trial_3_redantique,trial_7_basset
178,closer,331e286811d1_26,trial_1_bluesport,trial_10_beetle,trial_31_bluesedan,trial_6_hatchback
179,further,331e286811d1_29,trial_30_doberman,trial_19_pigeon,trial_24_white,trial_4_straight
180,closer,331e286811d1_31,trial_31_bluesedan,trial_10_beetle,trial_1_bluesport,trial_6_hatchback
181,further,331e286811d1_32,trial_13_tomtit,trial_21_woven,trial_2_bullmastiff,trial_9_brown
182,closer,44375a040165_1,trial_12_bluejay,trial_14_robin,trial_20_cuckoo,trial_29_sparrow
183,closer,44375a040165_2,trial_31_bluesedan,trial_10_beetle,trial_6_hatchback,trial_9_brown
184,closer,44375a040165_5,trial_9_brown,trial_10_beetle,trial_31_bluesedan,trial_6_hatchback
185,closer,44375a040165_7,trial_20_cuckoo,trial_12_bluejay,trial_14_robin,trial_29_sparrow
186,further,44375a040165_8,trial_2_bullmastiff,trial_11_waiting,trial_19_pigeon,trial_24_white
187,closer,44375a040165_10,trial_6_hatchback,trial_10_beetle,trial_31_bluesedan,trial_9_brown
188,further,44375a040165_12,trial_18_pug,trial_15_nightingale,trial_3_redantique,trial_4_straight
189,further,44375a040165_13,trial_3_redantique,trial_15_nightingale,trial_18_pug,trial_4_straight
190,closer,44375a040165_15,trial_14_robin,trial_12_bluejay,trial_20_cuckoo,trial_29_sparrow
191,further,44375a040165_17,trial_24_white,trial_11_waiting,trial_19_pigeon,trial_2_bullmastiff
192,closer,44375a040165_19,trial_7_basset,trial_23_weimaraner,trial_25_goldenretriever,trial_30_doberman
193,further,44375a040165_23,trial_15_nightingale,trial_18_pug,trial_3_redantique,trial_4_straight
194,closer,44375a040165_24,trial_30_doberman,trial_23_weimaraner,trial_25_goldenretriever,trial_7_basset
195,further,44375a040165_25,trial_11_waiting,trial_19_pigeon,trial_24_white,trial_2_bullmastiff
196,further,44375a040165_29,trial_4_straight,trial_15_nightingale,trial_18_pug,trial_3_redantique
197,further,44375a040165_32,trial_19_pigeon,trial_11_waiting,trial_24_white,trial_2_bullmastiff
198,closer,54e60295fc00_3,trial_12_bluejay,trial_14_robin,trial_20_cuckoo,trial_26_crow
199,closer,54e60295fc00_6,trial_32_squat,trial_11_waiting,trial_22_leather,trial_4_straight
200,closer,54e60295fc00_8,trial_20_cuckoo,trial_12_bluejay,trial_14_robin,trial_26_crow
201,closer,54e60295fc00_11,trial_28_chihuahua,trial_16_bloodhound,trial_23_weimaraner,trial_25_goldenretriever
202,further,54e60295fc00_12,trial_17_redsport,trial_15_nightingale,trial_2_bullmastiff,trial_5_inlay
203,further,54e60295fc00_13,trial_5_inlay,trial_15_nightingale,trial_17_redsport,trial_2_bullmastiff
204,closer,54e60295fc00_17,trial_22_leather,trial_11_waiting,trial_32_squat,trial_4_straight
205,closer,54e60295fc00_20,trial_14_robin,trial_12_bluejay,trial_20_cuckoo,trial_26_crow
206,closer,54e60295fc00_21,trial_4_straight,trial_11_waiting,trial_22_leather,trial_32_squat
207,closer,54e60295fc00_25,trial_11_waiting,trial_22_leather,trial_32_squat,trial_4_straight
208,further,54e60295fc00_27,trial_2_bullmastiff,trial_15_nightingale,trial_17_redsport,trial_5_inlay
209,further,54e60295fc00_29,trial_15_nightingale,trial_17_redsport,trial_2_bullmastiff,trial_5_inlay
210,closer,54e60295fc00_31,trial_25_goldenretriever,trial_16_bloodhound,trial_23_weimaraner,trial_28_chihuahua
211,further,d479bb0a2d11_2,trial_27_sling,trial_14_robin,trial_24_white,trial_25_goldenretriever
212,further,d479bb0a2d11_3,trial_25_goldenretriever,trial_14_robin,trial_24_white,trial_27_sling
213,further,d479bb0a2d11_4,trial_14_robin,trial_24_white,trial_25_goldenretriever,trial_27_sling
214,further,d479bb0a2d11_5,trial_17_redsport,trial_11_waiting,trial_26_crow,trial_7_basset
215,further,d479bb0a2d11_11,trial_11_waiting,trial_17_redsport,trial_26_crow,trial_7_basset
216,closer,d479bb0a2d11_14,trial_16_bloodhound,trial_18_pug,trial_23_weimaraner,trial_2_bullmastiff
217,further,d479bb0a2d11_15,trial_26_crow,trial_11_waiting,trial_17_redsport,trial_7_basset
218,closer,d479bb0a2d11_22,trial_2_bullmastiff,trial_16_bloodhound,trial_18_pug,trial_23_weimaraner
219,further,d479bb0a2d11_25,trial_7_basset,trial_11_waiting,trial_17_redsport,trial_26_crow
220,further,d479bb0a2d11_26,trial_24_white,trial_14_robin,trial_25_goldenretriever,trial_27_sling
221,closer,d479bb0a2d11_27,trial_23_weimaraner,trial_16_bloodhound,trial_18_pug,trial_2_bullmastiff
222,closer,d479bb0a2d11_31,trial_18_pug,trial_16_bloodhound,trial_23_weimaraner,trial_2_bullmastiff
223,further,bf974318f61d_4,trial_31_bluesedan,trial_13_tomtit,trial_22_leather,trial_28_chihuahua
224,further,bf974318f61d_7,trial_22_leather,trial_13_tomtit,trial_28_chihuahua,trial_31_bluesedan
225,closer,bf974318f61d_8,trial_25_goldenretriever,trial_16_bloodhound,trial_18_pug,trial_2_bullmastiff
226,further,bf974318f61d_9,trial_32_squat,trial_17_redsport,trial_29_sparrow,trial_7_basset
227,further,bf974318f61d_13,trial_28_chihuahua,trial_13_tomtit,trial_22_leather,trial_31_bluesedan
228,closer,bf974318f61d_16,trial_20_cuckoo,trial_12_bluejay,trial_14_robin,trial_26_crow
229,closer,bf974318f61d_19,trial_26_crow,trial_12_bluejay,trial_14_robin,trial_20_cuckoo
230,closer,bf974318f61d_20,trial_14_robin,trial_12_bluejay,trial_20_cuckoo,trial_26_crow
231,further,bf974318f61d_22,trial_13_tomtit,trial_22_leather,trial_28_chihuahua,trial_31_bluesedan
232,further,bf974318f61d_24,trial_17_redsport,trial_29_sparrow,trial_32_squat,trial_7_basset
233,closer,bf974318f61d_25,trial_2_bullmastiff,trial_16_bloodhound,trial_18_pug,trial_25_goldenretriever
234,further,bf974318f61d_26,trial_7_basset,trial_17_redsport,trial_29_sparrow,trial_32_squat
235,closer,bf974318f61d_28,trial_12_bluejay,trial_14_robin,trial_20_cuckoo,trial_26_crow
236,further,bf974318f61d_30,trial_29_sparrow,trial_17_redsport,trial_32_squat,trial_7_basset
237,closer,5d9a30dc38e2_3,trial_21_woven,trial_27_sling,trial_32_squat,trial_5_inlay
238,closer,5d9a30dc38e2_10,trial_5_inlay,trial_21_woven,trial_27_sling,trial_32_squat
239,closer,5d9a30dc38e2_23,trial_32_squat,trial_21_woven,trial_27_sling,trial_5_inlay
240,closer,5d9a30dc38e2_31,trial_27_sling,trial_21_woven,trial_32_squat,trial_5_inlay
241,closer,36a20f2951c5_9,trial_24_white,trial_1_bluesport,trial_6_hatchback,trial_9_brown
242,further,36a20f2951c5_12,trial_2_bullmastiff,trial_12_bluejay,trial_31_bluesedan,trial_4_straight
243,further,36a20f2951c5_13,trial_4_straight,trial_12_bluejay,trial_2_bullmastiff,trial_31_bluesedan
244,further,36a20f2951c5_21,trial_13_tomtit,trial_27_sling,trial_28_chihuahua,trial_3_redantique
245,closer,36a20f2951c5_22,trial_6_hatchback,trial_1_bluesport,trial_24_white,trial_9_brown
246,further,36a20f2951c5_23,trial_3_redantique,trial_13_tomtit,trial_27_sling,trial_28_chihuahua
247,further,36a20f2951c5_24,trial_27_sling,trial_13_tomtit,trial_28_chihuahua,trial_3_redantique
248,further,36a20f2951c5_25,trial_28_chihuahua,trial_13_tomtit,trial_27_sling,trial_3_redantique
249,further,36a20f2951c5_26,trial_12_bluejay,trial_2_bullmastiff,trial_31_bluesedan,trial_4_straight
250,further,36a20f2951c5_32,trial_31_bluesedan,trial_12_bluejay,trial_2_bullmastiff,trial_4_straight
251,further,737a5b0fbd1f_4,trial_22_leather,trial_12_bluejay,trial_1_bluesport,trial_7_basset
252,further,737a5b0fbd1f_9,trial_12_bluejay,trial_1_bluesport,trial_22_leather,trial_7_basset
253,further,737a5b0fbd1f_21,trial_7_basset,trial_12_bluejay,trial_1_bluesport,trial_22_leather
254,further,737a5b0fbd1f_28,trial_1_bluesport,trial_12_bluejay,trial_22_leather,trial_7_basset
255,further,b5377cf24d71_3,trial_28_chihuahua,trial_12_bluejay,trial_32_squat,trial_9_brown
256,further,b5377cf24d71_12,trial_17_redsport,trial_13_tomtit,trial_2_bullmastiff,trial_5_inlay
257,closer,b5377cf24d71_13,trial_10_beetle,trial_1_bluesport,trial_31_bluesedan,trial_6_hatchback
258,closer,b5377cf24d71_14,trial_1_bluesport,trial_10_beetle,trial_31_bluesedan,trial_6_hatchback
259,further,b5377cf24d71_18,trial_32_squat,trial_12_bluejay,trial_28_chihuahua,trial_9_brown
260,further,b5377cf24d71_19,trial_12_bluejay,trial_28_chihuahua,trial_32_squat,trial_9_brown
261,further,b5377cf24d71_23,trial_13_tomtit,trial_17_redsport,trial_2_bullmastiff,trial_5_inlay
262,further,b5377cf24d71_26,trial_9_brown,trial_12_bluejay,trial_28_chihuahua,trial_32_squat
263,further,b5377cf24d71_28,trial_2_bullmastiff,trial_13_tomtit,trial_17_redsport,trial_5_inlay
264,closer,b5377cf24d71_29,trial_31_bluesedan,trial_10_beetle,trial_1_bluesport,trial_6_hatchback
265,closer,b5377cf24d71_30,trial_6_hatchback,trial_10_beetle,trial_1_bluesport,trial_31_bluesedan
