condition,sketchLabel,Target,Distractor1,Distractor2,Distractor3
further,9e97a0613616_18,bluesport_0016,doberman_0016,sling_0016,tomtit_0016
closer,9e97a0613616_19,white_0010,beetle_0010,redantique_0010,redsport_0010
further,9e97a0613616_20,sparrow_0031,chihuahua_0031,hatchback_0031,straight_0031
further,9e97a0613616_21,brown_0019,bloodhound_0019,bluejay_0019,inlay_0019
further,9e97a0613616_22,straight_0004,chihuahua_0004,hatchback_0004,sparrow_0004
closer,9e97a0613616_23,bullmastiff_0036,basset_0036,goldenretriever_0036,pug_0036
closer,9e97a0613616_24,leather_0022,knob_0022,squat_0022,waiting_0022
further,9e97a0613616_25,hatchback_0034,chihuahua_0034,sparrow_0034,straight_0034
closer,9e97a0613616_26,robin_0024,crow_0024,cuckoo_0024,pigeon_0024
closer,9e97a0613616_27,knob_0033,leather_0033,squat_0033,waiting_0033
closer,9e97a0613616_28,beetle_0009,redantique_0009,redsport_0009,white_0009
closer,9e97a0613616_29,redsport_0015,beetle_0015,redantique_0015,white_0015
closer,9e97a0613616_30,waiting_0014,knob_0014,leather_0014,squat_0014
closer,9e97a0613616_31,pug_0007,basset_0007,bullmastiff_0007,goldenretriever_0007
further,9e97a0613616_32,tomtit_0005,bluesport_0005,doberman_0005,sling_0005
further,e9293354ea19_1,beetle_0009,bloodhound_0009,crow_0009,knob_0009
further,e9293354ea19_3,nightingale_0010,brown_0010,goldenretriever_0010,straight_0010
closer,e9293354ea19_4,leather_0019,sling_0019,squat_0019,waiting_0019
further,e9293354ea19_5,cuckoo_0017,bluesedan_0017,inlay_0017,weimaraner_0017
further,e9293354ea19_6,crow_0035,beetle_0035,bloodhound_0035,knob_0035
further,e9293354ea19_7,woven_0021,doberman_0021,sparrow_0021,white_0021
closer,e9293354ea19_8,chihuahua_0022,basset_0022,bullmastiff_0022,pug_0022
further,e9293354ea19_9,brown_0013,goldenretriever_0013,nightingale_0013,straight_0013
further,e9293354ea19_10,bloodhound_0005,beetle_0005,crow_0005,knob_0005
further,e9293354ea19_11,sparrow_0025,doberman_0025,white_0025,woven_0025
further,e9293354ea19_12,bluesedan_0002,cuckoo_0002,inlay_0002,weimaraner_0002
closer,e9293354ea19_13,bullmastiff_0008,basset_0008,chihuahua_0008,pug_0008
further,e9293354ea19_15,doberman_0003,sparrow_0003,white_0003,woven_0003
closer,e9293354ea19_16,redantique_0026,bluesport_0026,hatchback_0026,redsport_0026
closer,e9293354ea19_17,hatchback_0034,bluesport_0034,redantique_0034,redsport_0034
further,e9293354ea19_19,goldenretriever_0011,brown_0011,nightingale_0011,straight_0011
further,e9293354ea19_20,knob_0032,beetle_0032,bloodhound_0032,crow_0032
further,e9293354ea19_21,white_0012,doberman_0012,sparrow_0012,woven_0012
further,e9293354ea19_22,weimaraner_0038,bluesedan_0038,cuckoo_0038,inlay_0038
closer,e9293354ea19_23,bluesport_0030,hatchback_0030,redantique_0030,redsport_0030
closer,e9293354ea19_24,pug_0004,basset_0004,bullmastiff_0004,chihuahua_0004
closer,e9293354ea19_25,pigeon_0000,bluejay_0000,robin_0000,tomtit_0000
closer,e9293354ea19_26,squat_0039,leather_0039,sling_0039,waiting_0039
further,e9293354ea19_28,straight_0007,brown_0007,goldenretriever_0007,nightingale_0007
further,e9293354ea19_31,inlay_0015,bluesedan_0015,cuckoo_0015,weimaraner_0015
closer,e9293354ea19_32,bluejay_0029,pigeon_0029,robin_0029,tomtit_0029
closer,0f0dec886711_1,knob_0008,inlay_0008,sling_0008,straight_0008
further,0f0dec886711_2,chihuahua_0003,beetle_0003,bluejay_0003,woven_0003
further,0f0dec886711_3,redsport_0027,bloodhound_0027,leather_0027,pigeon_0027
further,0f0dec886711_4,redantique_0002,doberman_0002,nightingale_0002,squat_0002
further,0f0dec886711_5,squat_0037,doberman_0037,nightingale_0037,redantique_0037
further,0f0dec886711_6,bluejay_0015,beetle_0015,chihuahua_0015,woven_0015
closer,0f0dec886711_7,inlay_0012,knob_0012,sling_0012,straight_0012
closer,0f0dec886711_8,straight_0034,inlay_0034,knob_0034,sling_0034
closer,0f0dec886711_9,goldenretriever_0016,basset_0016,bullmastiff_0016,pug_0016
further,0f0dec886711_10,bloodhound_0018,leather_0018,pigeon_0018,redsport_0018
further,0f0dec886711_11,woven_0017,beetle_0017,bluejay_0017,chihuahua_0017
further,0f0dec886711_12,weimaraner_0030,cuckoo_0030,waiting_0030,white_0030
closer,0f0dec886711_13,pug_0005,basset_0005,bullmastiff_0005,goldenretriever_0005
closer,0f0dec886711_14,basset_0035,bullmastiff_0035,goldenretriever_0035,pug_0035
further,0f0dec886711_15,doberman_0038,nightingale_0038,redantique_0038,squat_0038
further,0f0dec886711_16,white_0011,cuckoo_0011,waiting_0011,weimaraner_0011
further,0f0dec886711_17,pigeon_0009,bloodhound_0009,leather_0009,redsport_0009
further,0f0dec886711_18,nightingale_0028,doberman_0028,redantique_0028,squat_0028
closer,0f0dec886711_19,crow_0029,robin_0029,sparrow_0029,tomtit_0029
closer,0f0dec886711_20,bluesedan_0020,bluesport_0020,brown_0020,hatchback_0020
further,0f0dec886711_21,leather_0026,bloodhound_0026,pigeon_0026,redsport_0026
closer,0f0dec886711_22,tomtit_0031,crow_0031,robin_0031,sparrow_0031
further,0f0dec886711_23,beetle_0000,bluejay_0000,chihuahua_0000,woven_0000
closer,0f0dec886711_24,sling_0022,inlay_0022,knob_0022,straight_0022
closer,0f0dec886711_25,hatchback_0006,bluesedan_0006,bluesport_0006,brown_0006
closer,0f0dec886711_26,brown_0025,bluesedan_0025,bluesport_0025,hatchback_0025
further,0f0dec886711_27,cuckoo_0013,waiting_0013,weimaraner_0013,white_0013
closer,0f0dec886711_28,bluesport_0019,bluesedan_0019,brown_0019,hatchback_0019
closer,0f0dec886711_29,robin_0036,crow_0036,sparrow_0036,tomtit_0036
further,0f0dec886711_30,waiting_0021,cuckoo_0021,weimaraner_0021,white_0021
closer,0f0dec886711_31,bullmastiff_0033,basset_0033,goldenretriever_0033,pug_0033
closer,0f0dec886711_32,sparrow_0024,crow_0024,robin_0024,tomtit_0024
further,c2ee44cd976e_1,chihuahua_0015,beetle_0015,nightingale_0015,waiting_0015
closer,c2ee44cd976e_2,leather_0009,knob_0009,sling_0009,straight_0009
closer,c2ee44cd976e_3,bluesedan_0011,hatchback_0011,redsport_0011,white_0011
further,c2ee44cd976e_4,beetle_0033,chihuahua_0033,nightingale_0033,waiting_0033
further,c2ee44cd976e_5,nightingale_0026,beetle_0026,chihuahua_0026,waiting_0026
closer,c2ee44cd976e_6,hatchback_0034,bluesedan_0034,redsport_0034,white_0034
closer,c2ee44cd976e_7,pug_0013,bullmastiff_0013,goldenretriever_0013,weimaraner_0013
closer,c2ee44cd976e_8,cuckoo_0001,crow_0001,pigeon_0001,robin_0001
further,c2ee44cd976e_9,woven_0004,brown_0004,doberman_0004,tomtit_0004
closer,c2ee44cd976e_10,goldenretriever_0017,bullmastiff_0017,pug_0017,weimaraner_0017
closer,c2ee44cd976e_11,white_0030,bluesedan_0030,hatchback_0030,redsport_0030
closer,c2ee44cd976e_12,pigeon_0021,crow_0021,cuckoo_0021,robin_0021
closer,c2ee44cd976e_13,weimaraner_0022,bullmastiff_0022,goldenretriever_0022,pug_0022
further,c2ee44cd976e_14,basset_0008,inlay_0008,redantique_0008,sparrow_0008
further,c2ee44cd976e_16,sparrow_0002,basset_0002,inlay_0002,redantique_0002
further,c2ee44cd976e_17,redantique_0028,basset_0028,inlay_0028,sparrow_0028
further,c2ee44cd976e_18,squat_0003,bloodhound_0003,bluejay_0003,bluesport_0003
further,c2ee44cd976e_19,bluejay_0014,bloodhound_0014,bluesport_0014,squat_0014
further,c2ee44cd976e_20,inlay_0027,basset_0027,redantique_0027,sparrow_0027
further,c2ee44cd976e_21,bloodhound_0010,bluejay_0010,bluesport_0010,squat_0010
further,c2ee44cd976e_22,bluesport_0016,bloodhound_0016,bluejay_0016,squat_0016
further,c2ee44cd976e_23,tomtit_0007,brown_0007,doberman_0007,woven_0007
further,c2ee44cd976e_24,waiting_0031,beetle_0031,chihuahua_0031,nightingale_0031
further,c2ee44cd976e_25,doberman_0020,brown_0020,tomtit_0020,woven_0020
closer,c2ee44cd976e_27,redsport_0039,bluesedan_0039,hatchback_0039,white_0039
closer,c2ee44cd976e_28,straight_0037,knob_0037,leather_0037,sling_0037
closer,c2ee44cd976e_29,knob_0036,leather_0036,sling_0036,straight_0036
closer,c2ee44cd976e_30,bullmastiff_0012,goldenretriever_0012,pug_0012,weimaraner_0012
further,c2ee44cd976e_31,brown_0029,doberman_0029,tomtit_0029,woven_0029
closer,c2ee44cd976e_32,robin_0032,crow_0032,cuckoo_0032,pigeon_0032
further,cd651eab81ab_2,beetle_0020,bluejay_0020,pug_0020,woven_0020
closer,cd651eab81ab_3,nightingale_0001,crow_0001,cuckoo_0001,tomtit_0001
closer,cd651eab81ab_4,knob_0007,inlay_0007,leather_0007,straight_0007
further,cd651eab81ab_5,waiting_0017,basset_0017,hatchback_0017,pigeon_0017
closer,cd651eab81ab_6,redantique_0035,bluesedan_0035,redsport_0035,white_0035
closer,cd651eab81ab_7,leather_0022,inlay_0022,knob_0022,straight_0022
further,cd651eab81ab_8,sling_0004,brown_0004,goldenretriever_0004,sparrow_0004
further,cd651eab81ab_9,hatchback_0000,basset_0000,pigeon_0000,waiting_0000
closer,cd651eab81ab_10,redsport_0030,bluesedan_0030,redantique_0030,white_0030
closer,cd651eab81ab_11,chihuahua_0036,bullmastiff_0036,doberman_0036,weimaraner_0036
closer,cd651eab81ab_12,doberman_0038,bullmastiff_0038,chihuahua_0038,weimaraner_0038
closer,cd651eab81ab_13,straight_0027,inlay_0027,knob_0027,leather_0027
closer,cd651eab81ab_14,cuckoo_0028,crow_0028,nightingale_0028,tomtit_0028
further,cd651eab81ab_15,bloodhound_0031,bluesport_0031,robin_0031,squat_0031
further,cd651eab81ab_16,bluesport_0006,bloodhound_0006,robin_0006,squat_0006
closer,cd651eab81ab_17,white_0024,bluesedan_0024,redantique_0024,redsport_0024
closer,cd651eab81ab_18,tomtit_0039,crow_0039,cuckoo_0039,nightingale_0039
further,cd651eab81ab_19,robin_0026,bloodhound_0026,bluesport_0026,squat_0026
further,cd651eab81ab_20,bluejay_0029,beetle_0029,pug_0029,woven_0029
closer,cd651eab81ab_21,crow_0003,cuckoo_0003,nightingale_0003,tomtit_0003
closer,cd651eab81ab_22,bullmastiff_0014,chihuahua_0014,doberman_0014,weimaraner_0014
further,cd651eab81ab_23,goldenretriever_0002,brown_0002,sling_0002,sparrow_0002
further,cd651eab81ab_24,sparrow_0033,brown_0033,goldenretriever_0033,sling_0033
further,cd651eab81ab_25,pigeon_0025,basset_0025,hatchback_0025,waiting_0025
further,cd651eab81ab_26,basset_0011,hatchback_0011,pigeon_0011,waiting_0011
further,cd651eab81ab_27,pug_0023,beetle_0023,bluejay_0023,woven_0023
closer,cd651eab81ab_28,bluesedan_0010,redantique_0010,redsport_0010,white_0010
closer,cd651eab81ab_29,inlay_0034,knob_0034,leather_0034,straight_0034
further,cd651eab81ab_30,brown_0008,goldenretriever_0008,sling_0008,sparrow_0008
further,cd651eab81ab_31,squat_0012,bloodhound_0012,bluesport_0012,robin_0012
further,cd651eab81ab_32,woven_0032,beetle_0032,bluejay_0032,pug_0032
further,4954f989b06b_1,basset_0039,cuckoo_0039,squat_0039,white_0039
closer,4954f989b06b_2,brown_0020,beetle_0020,hatchback_0020,redsport_0020
closer,4954f989b06b_3,chihuahua_0019,bloodhound_0019,bullmastiff_0019,doberman_0019
closer,4954f989b06b_4,hatchback_0013,beetle_0013,brown_0013,redsport_0013
closer,4954f989b06b_5,redsport_0011,beetle_0011,brown_0011,hatchback_0011
further,4954f989b06b_7,robin_0008,bluesedan_0008,leather_0008,pug_0008
closer,4954f989b06b_8,sling_0022,inlay_0022,knob_0022,waiting_0022
further,4954f989b06b_9,straight_0017,bluesport_0017,goldenretriever_0017,nightingale_0017
closer,4954f989b06b_10,bloodhound_0024,bullmastiff_0024,chihuahua_0024,doberman_0024
closer,4954f989b06b_11,inlay_0014,knob_0014,sling_0014,waiting_0014
further,4954f989b06b_12,bluesedan_0033,leather_0033,pug_0033,robin_0033
further,4954f989b06b_13,white_0029,basset_0029,cuckoo_0029,squat_0029
closer,4954f989b06b_14,sparrow_0000,bluejay_0000,pigeon_0000,tomtit_0000
further,4954f989b06b_15,cuckoo_0037,basset_0037,squat_0037,white_0037
closer,4954f989b06b_16,doberman_0012,bloodhound_0012,bullmastiff_0012,chihuahua_0012
further,4954f989b06b_17,leather_0026,bluesedan_0026,pug_0026,robin_0026
further,4954f989b06b_18,squat_0001,basset_0001,cuckoo_0001,white_0001
closer,4954f989b06b_20,knob_0002,inlay_0002,sling_0002,waiting_0002
closer,4954f989b06b_21,waiting_0016,inlay_0016,knob_0016,sling_0016
further,4954f989b06b_22,bluesport_0021,goldenretriever_0021,nightingale_0021,straight_0021
further,4954f989b06b_23,pug_0023,bluesedan_0023,leather_0023,robin_0023
closer,4954f989b06b_24,tomtit_0018,bluejay_0018,pigeon_0018,sparrow_0018
further,4954f989b06b_25,woven_0015,crow_0015,redantique_0015,weimaraner_0015
further,4954f989b06b_26,crow_0028,redantique_0028,weimaraner_0028,woven_0028
further,4954f989b06b_27,nightingale_0035,bluesport_0035,goldenretriever_0035,straight_0035
further,4954f989b06b_28,weimaraner_0010,crow_0010,redantique_0010,woven_0010
closer,4954f989b06b_29,bluejay_0009,pigeon_0009,sparrow_0009,tomtit_0009
closer,4954f989b06b_30,pigeon_0031,bluejay_0031,sparrow_0031,tomtit_0031
further,4954f989b06b_31,goldenretriever_0007,bluesport_0007,nightingale_0007,straight_0007
closer,4954f989b06b_32,beetle_0027,brown_0027,hatchback_0027,redsport_0027
closer,5f4c9a0ef09a_1,bluejay_0013,nightingale_0013,pigeon_0013,robin_0013
closer,5f4c9a0ef09a_3,leather_0027,inlay_0027,squat_0027,straight_0027
closer,5f4c9a0ef09a_4,robin_0017,bluejay_0017,nightingale_0017,pigeon_0017
further,5f4c9a0ef09a_5,sparrow_0020,bloodhound_0020,hatchback_0020,waiting_0020
further,5f4c9a0ef09a_6,cuckoo_0006,bluesport_0006,sling_0006,weimaraner_0006
further,5f4c9a0ef09a_7,crow_0023,basset_0023,redantique_0023,woven_0023
closer,5f4c9a0ef09a_8,beetle_0011,bluesedan_0011,redsport_0011,white_0011
further,5f4c9a0ef09a_9,knob_0035,brown_0035,goldenretriever_0035,tomtit_0035
further,5f4c9a0ef09a_10,woven_0004,basset_0004,crow_0004,redantique_0004
closer,5f4c9a0ef09a_11,bluesedan_0026,beetle_0026,redsport_0026,white_0026
further,5f4c9a0ef09a_12,redantique_0009,basset_0009,crow_0009,woven_0009
further,5f4c9a0ef09a_13,weimaraner_0030,bluesport_0030,cuckoo_0030,sling_0030
closer,5f4c9a0ef09a_14,chihuahua_0002,bullmastiff_0002,doberman_0002,pug_0002
