condition,Distractor1,Distractor2,Distractor3,Target
further,bloodhound_0006,robin_0006,squat_0006,bluesport_0006
further,bloodhound_0026,bluesport_0026,squat_0026,robin_0026
further,beetle_0029,pug_0029,woven_0029,bluejay_0029
further,brown_0002,sling_0002,sparrow_0002,goldenretriever_0002
further,brown_0033,goldenretriever_0033,sling_0033,sparrow_0033
further,basset_0025,hatchback_0025,waiting_0025,pigeon_0025
further,hatchback_0011,pigeon_0011,waiting_0011,basset_0011
further,beetle_0023,bluejay_0023,woven_0023,pug_0023
further,goldenretriever_0008,sling_0008,sparrow_0008,brown_0008
further,bloodhound_0012,bluesport_0012,robin_0012,squat_0012
further,beetle_0032,bluejay_0032,pug_0032,woven_0032
further,cuckoo_0039,squat_0039,white_0039,basset_0039
further,crow_0003,weimaraner_0003,woven_0003,redantique_0003
further,bluesedan_0008,leather_0008,pug_0008,robin_0008
further,bluesport_0017,goldenretriever_0017,nightingale_0017,straight_0017
further,leather_0033,pug_0033,robin_0033,bluesedan_0033
further,basset_0029,cuckoo_0029,squat_0029,white_0029
further,basset_0037,squat_0037,white_0037,cuckoo_0037
further,bluesedan_0026,pug_0026,robin_0026,leather_0026
further,basset_0001,cuckoo_0001,white_0001,squat_0001
further,goldenretriever_0021,nightingale_0021,straight_0021,bluesport_0021
further,bluesedan_0023,leather_0023,robin_0023,pug_0023
further,crow_0015,redantique_0015,weimaraner_0015,woven_0015
further,redantique_0028,weimaraner_0028,woven_0028,crow_0028
further,bluesport_0035,goldenretriever_0035,straight_0035,nightingale_0035
further,crow_0010,redantique_0010,woven_0010,weimaraner_0010
further,bluesport_0007,nightingale_0007,straight_0007,goldenretriever_0007
further,bloodhound_0020,hatchback_0020,waiting_0020,sparrow_0020
further,bluesport_0006,sling_0006,weimaraner_0006,cuckoo_0006
further,basset_0023,redantique_0023,woven_0023,crow_0023
further,brown_0035,goldenretriever_0035,tomtit_0035,knob_0035
further,basset_0004,crow_0004,redantique_0004,woven_0004
further,basset_0009,crow_0009,woven_0009,redantique_0009
further,bluesport_0030,cuckoo_0030,sling_0030,weimaraner_0030
further,bloodhound_0028,hatchback_0028,sparrow_0028,waiting_0028
further,goldenretriever_0025,knob_0025,tomtit_0025,brown_0025
further,hatchback_0016,sparrow_0016,waiting_0016,bloodhound_0016
further,brown_0019,knob_0019,tomtit_0019,goldenretriever_0019
further,brown_0033,goldenretriever_0033,knob_0033,tomtit_0033
further,bluesport_0008,cuckoo_0008,weimaraner_0008,sling_0008
further,bloodhound_0000,sparrow_0000,waiting_0000,hatchback_0000
further,crow_0032,redantique_0032,woven_0032,basset_0032
further,cuckoo_0021,sling_0021,weimaraner_0021,bluesport_0021
further,bloodhound_0011,brown_0011,waiting_0011,bluejay_0011
further,basset_0023,crow_0023,straight_0023,redsport_0023
further,bullmastiff_0001,pigeon_0001,white_0001,woven_0001
further,bullmastiff_0036,pigeon_0036,woven_0036,white_0036
further,basset_0005,crow_0005,redsport_0005,straight_0005
further,bluejay_0019,brown_0019,waiting_0019,bloodhound_0019
further,bloodhound_0037,bluejay_0037,brown_0037,waiting_0037
further,doberman_0038,redantique_0038,sling_0038,tomtit_0038
further,basset_0004,redsport_0004,straight_0004,crow_0004
further,crow_0030,redsport_0030,straight_0030,basset_0030
further,bullmastiff_0010,white_0010,woven_0010,pigeon_0010
further,doberman_0026,redantique_0026,tomtit_0026,sling_0026
further,pigeon_0017,white_0017,woven_0017,bullmastiff_0017
further,redantique_0016,sling_0016,tomtit_0016,doberman_0016
further,bloodhound_0007,bluejay_0007,waiting_0007,brown_0007
further,doberman_0027,sling_0027,tomtit_0027,redantique_0027
further,bullmastiff_0024,crow_0024,inlay_0024,redsport_0024
further,bullmastiff_0010,crow_0010,redsport_0010,inlay_0010
further,basset_0036,tomtit_0036,white_0036,waiting_0036
further,basset_0015,waiting_0015,white_0015,tomtit_0015
further,brown_0007,robin_0007,sling_0007,weimaraner_0007
further,basset_0025,tomtit_0025,waiting_0025,white_0025
further,doberman_0012,leather_0012,sparrow_0012,bluesedan_0012
further,tomtit_0021,waiting_0021,white_0021,basset_0021
further,bluesedan_0017,doberman_0017,leather_0017,sparrow_0017
further,bluesedan_0000,doberman_0000,sparrow_0000,leather_0000
further,robin_0013,sling_0013,weimaraner_0013,brown_0013
further,bluesedan_0031,leather_0031,sparrow_0031,doberman_0031
further,brown_0011,robin_0011,weimaraner_0011,sling_0011
further,brown_0022,sling_0022,weimaraner_0022,robin_0022
further,crow_0026,inlay_0026,redsport_0026,bullmastiff_0026
further,bluejay_0031,inlay_0031,redantique_0031,weimaraner_0031
further,chihuahua_0004,straight_0004,tomtit_0004,hatchback_0004
further,chihuahua_0026,hatchback_0026,straight_0026,tomtit_0026
further,bluejay_0020,redantique_0020,weimaraner_0020,inlay_0020
further,chihuahua_0029,hatchback_0029,tomtit_0029,straight_0029
further,bluesedan_0024,goldenretriever_0024,knob_0024,cuckoo_0024
further,beetle_0021,robin_0021,squat_0021,bloodhound_0021
further,beetle_0012,bloodhound_0012,squat_0012,robin_0012
further,hatchback_0037,straight_0037,tomtit_0037,chihuahua_0037
further,bluesedan_0027,cuckoo_0027,knob_0027,goldenretriever_0027
further,bluesedan_0011,cuckoo_0011,goldenretriever_0011,knob_0011
further,inlay_0005,redantique_0005,weimaraner_0005,bluejay_0005
further,cuckoo_0030,goldenretriever_0030,knob_0030,bluesedan_0030
further,bloodhound_0023,robin_0023,squat_0023,beetle_0023
further,beetle_0009,bloodhound_0009,robin_0009,squat_0009
further,bluejay_0014,inlay_0014,weimaraner_0014,redantique_0014
further,bluejay_0001,bullmastiff_0001,inlay_0001,hatchback_0001
further,bluesport_0019,doberman_0019,sling_0019,crow_0019
further,pug_0016,redsport_0016,tomtit_0016,woven_0016
further,bluesport_0021,crow_0021,sling_0021,doberman_0021
further,redsport_0002,tomtit_0002,woven_0002,pug_0002
further,pug_0024,tomtit_0024,woven_0024,redsport_0024
further,basset_0036,redantique_0036,waiting_0036,robin_0036
further,bluejay_0029,hatchback_0029,inlay_0029,bullmastiff_0029
further,pug_0006,redsport_0006,woven_0006,tomtit_0006
further,basset_0004,robin_0004,waiting_0004,redantique_0004
further,basset_0032,redantique_0032,robin_0032,waiting_0032
further,bluesport_0011,crow_0011,doberman_0011,sling_0011
further,bluejay_0014,bullmastiff_0014,hatchback_0014,inlay_0014
further,redantique_0025,robin_0025,waiting_0025,basset_0025
further,crow_0000,doberman_0000,sling_0000,bluesport_0000
further,bullmastiff_0017,hatchback_0017,inlay_0017,bluejay_0017
further,bluesport_0006,chihuahua_0006,robin_0006,woven_0006
further,chihuahua_0019,robin_0019,woven_0019,bluesport_0019
further,basset_0008,crow_0008,squat_0008,hatchback_0008
further,bloodhound_0030,cuckoo_0030,redsport_0030,sling_0030
further,bluesport_0026,chihuahua_0026,woven_0026,robin_0026
further,bloodhound_0016,cuckoo_0016,sling_0016,redsport_0016
further,beetle_0013,waiting_0013,weimaraner_0013,sparrow_0013
further,bluesport_0018,robin_0018,woven_0018,chihuahua_0018
further,sparrow_0032,waiting_0032,weimaraner_0032,beetle_0032
further,crow_0036,hatchback_0036,squat_0036,basset_0036
further,basset_0017,hatchback_0017,squat_0017,crow_0017
further,beetle_0039,sparrow_0039,weimaraner_0039,waiting_0039
further,basset_0038,crow_0038,hatchback_0038,squat_0038
further,bloodhound_0024,redsport_0024,sling_0024,cuckoo_0024
further,cuckoo_0027,redsport_0027,sling_0027,bloodhound_0027
further,beetle_0000,sparrow_0000,waiting_0000,weimaraner_0000
further,basset_0036,cuckoo_0036,squat_0036,bluesedan_0036
further,bloodhound_0038,redsport_0038,straight_0038,pigeon_0038
further,goldenretriever_0032,sling_0032,white_0032,tomtit_0032
further,chihuahua_0026,knob_0026,robin_0026,beetle_0026
further,basset_0000,bluesedan_0000,cuckoo_0000,squat_0000
further,basset_0003,bluesedan_0003,squat_0003,cuckoo_0003
further,beetle_0017,chihuahua_0017,knob_0017,robin_0017
further,goldenretriever_0020,sling_0020,tomtit_0020,white_0020
further,goldenretriever_0025,tomtit_0025,white_0025,sling_0025
further,beetle_0015,chihuahua_0015,robin_0015,knob_0015
further,pigeon_0028,redsport_0028,straight_0028,bloodhound_0028
further,sling_0013,tomtit_0013,white_0013,goldenretriever_0013
further,bluesedan_0030,cuckoo_0030,squat_0030,basset_0030
further,bloodhound_0007,pigeon_0007,straight_0007,redsport_0007
further,bloodhound_0021,pigeon_0021,redsport_0021,straight_0021
further,beetle_0035,knob_0035,robin_0035,chihuahua_0035
further,crow_0005,pug_0005,redsport_0005,inlay_0005
further,bluesedan_0029,bullmastiff_0029,waiting_0029,tomtit_0029
further,beetle_0036,cuckoo_0036,knob_0036,goldenretriever_0036
further,beetle_0031,goldenretriever_0031,knob_0031,cuckoo_0031
further,bluesedan_0034,bullmastiff_0034,tomtit_0034,waiting_0034
further,hatchback_0024,robin_0024,weimaraner_0024,sling_0024
further,crow_0027,inlay_0027,pug_0027,redsport_0027
further,bullmastiff_0037,tomtit_0037,waiting_0037,bluesedan_0037
further,beetle_0014,cuckoo_0014,goldenretriever_0014,knob_0014
further,hatchback_0023,sling_0023,weimaraner_0023,robin_0023
further,robin_0022,sling_0022,weimaraner_0022,hatchback_0022
further,hatchback_0033,robin_0033,sling_0033,weimaraner_0033
further,cuckoo_0021,goldenretriever_0021,knob_0021,beetle_0021
further,crow_0004,inlay_0004,redsport_0004,pug_0004
further,bluesedan_0025,tomtit_0025,waiting_0025,bullmastiff_0025
further,inlay_0003,pug_0003,redsport_0003,crow_0003
further,bluesport_0022,bullmastiff_0022,inlay_0022,tomtit_0022
further,bloodhound_0015,brown_0015,leather_0015,sparrow_0015
further,bluesport_0028,bullmastiff_0028,tomtit_0028,inlay_0028
further,bloodhound_0023,leather_0023,sparrow_0023,brown_0023
further,sling_0033,weimaraner_0033,white_0033,bluejay_0033
further,bullmastiff_0036,inlay_0036,tomtit_0036,bluesport_0036
further,doberman_0004,hatchback_0004,squat_0004,cuckoo_0004
further,brown_0026,leather_0026,sparrow_0026,bloodhound_0026
further,bluejay_0005,sling_0005,weimaraner_0005,white_0005
further,bluejay_0003,weimaraner_0003,white_0003,sling_0003
further,cuckoo_0000,doberman_0000,squat_0000,hatchback_0000
further,bluesport_0010,inlay_0010,tomtit_0010,bullmastiff_0010
further,bluejay_0021,sling_0021,white_0021,weimaraner_0021
further,cuckoo_0018,doberman_0018,hatchback_0018,squat_0018
further,cuckoo_0006,hatchback_0006,squat_0006,doberman_0006
further,bloodhound_0039,brown_0039,sparrow_0039,leather_0039
further,beetle_0002,goldenretriever_0002,squat_0002,pigeon_0002
further,chihuahua_0039,nightingale_0039,woven_0039,redantique_0039
further,beetle_0035,goldenretriever_0035,pigeon_0035,squat_0035
further,chihuahua_0028,nightingale_0028,redantique_0028,woven_0028
further,bullmastiff_0009,leather_0009,tomtit_0009,brown_0009
further,basset_0014,hatchback_0014,inlay_0014,sparrow_0014
further,basset_0030,hatchback_0030,sparrow_0030,inlay_0030
further,hatchback_0033,inlay_0033,sparrow_0033,basset_0033
further,brown_0000,bullmastiff_0000,tomtit_0000,leather_0000
further,beetle_0008,pigeon_0008,squat_0008,goldenretriever_0008
further,brown_0022,leather_0022,tomtit_0022,bullmastiff_0022
further,chihuahua_0029,redantique_0029,woven_0029,nightingale_0029
further,goldenretriever_0031,pigeon_0031,squat_0031,beetle_0031
further,brown_0026,bullmastiff_0026,leather_0026,tomtit_0026
further,basset_0018,inlay_0018,sparrow_0018,hatchback_0018
further,nightingale_0013,redantique_0013,woven_0013,chihuahua_0013
further,brown_0034,pigeon_0034,pug_0034,waiting_0034
further,beetle_0006,cuckoo_0006,leather_0006,chihuahua_0006
further,brown_0026,pigeon_0026,waiting_0026,pug_0026
further,goldenretriever_0003,hatchback_0003,inlay_0003,nightingale_0003
further,hatchback_0033,inlay_0033,nightingale_0033,goldenretriever_0033
further,goldenretriever_0015,hatchback_0015,nightingale_0015,inlay_0015
further,beetle_0039,chihuahua_0039,leather_0039,cuckoo_0039
further,basset_0025,bluesedan_0025,sparrow_0025,knob_0025
further,chihuahua_0016,cuckoo_0016,leather_0016,beetle_0016
further,bluesedan_0014,knob_0014,sparrow_0014,basset_0014
further,goldenretriever_0036,inlay_0036,nightingale_0036,hatchback_0036
further,pigeon_0035,pug_0035,waiting_0035,brown_0035
further,beetle_0028,chihuahua_0028,cuckoo_0028,leather_0028
further,basset_0031,bluesedan_0031,knob_0031,sparrow_0031
further,basset_0022,knob_0022,sparrow_0022,bluesedan_0022
further,brown_0019,pug_0019,waiting_0019,pigeon_0019
further,bullmastiff_0002,inlay_0002,tomtit_0002,white_0002
further,cuckoo_0003,redantique_0003,waiting_0003,weimaraner_0003
further,cuckoo_0027,redantique_0027,weimaraner_0027,waiting_0027
further,cuckoo_0036,waiting_0036,weimaraner_0036,redantique_0036
further,bullmastiff_0012,inlay_0012,white_0012,tomtit_0012
further,redantique_0017,waiting_0017,weimaraner_0017,cuckoo_0017
further,beetle_0030,goldenretriever_0030,sling_0030,pigeon_0030
further,bullmastiff_0019,tomtit_0019,white_0019,inlay_0019
further,goldenretriever_0033,pigeon_0033,sling_0033,beetle_0033
further,chihuahua_0010,crow_0010,leather_0010,hatchback_0010
further,chihuahua_0008,hatchback_0008,leather_0008,crow_0008
further,beetle_0038,pigeon_0038,sling_0038,goldenretriever_0038
further,beetle_0025,goldenretriever_0025,pigeon_0025,sling_0025
further,crow_0018,hatchback_0018,leather_0018,chihuahua_0018
further,chihuahua_0020,crow_0020,hatchback_0020,leather_0020
further,inlay_0035,tomtit_0035,white_0035,bullmastiff_0035
further,bluesport_0012,crow_0012,squat_0012,bullmastiff_0012
further,goldenretriever_0008,robin_0008,white_0008,woven_0008
further,bluesport_0039,bullmastiff_0039,squat_0039,crow_0039
further,chihuahua_0029,pigeon_0029,straight_0029,bluesedan_0029
further,goldenretriever_0022,white_0022,woven_0022,robin_0022
further,bluesedan_0021,chihuahua_0021,straight_0021,pigeon_0021
further,bluejay_0009,leather_0009,weimaraner_0009,redantique_0009
further,bluejay_0016,leather_0016,redantique_0016,weimaraner_0016
further,bluesedan_0006,pigeon_0006,straight_0006,chihuahua_0006
further,robin_0032,white_0032,woven_0032,goldenretriever_0032
further,bluesedan_0010,chihuahua_0010,pigeon_0010,straight_0010
further,bluesport_0017,bullmastiff_0017,crow_0017,squat_0017
further,goldenretriever_0004,robin_0004,woven_0004,white_0004
further,bluejay_0001,redantique_0001,weimaraner_0001,leather_0001
further,bullmastiff_0011,crow_0011,squat_0011,bluesport_0011
further,leather_0019,redantique_0019,weimaraner_0019,bluejay_0019
further,chihuahua_0026,nightingale_0026,waiting_0026,redantique_0026
further,goldenretriever_0035,pigeon_0035,woven_0035,beetle_0035
further,bluejay_0002,bluesport_0002,weimaraner_0002,inlay_0002
further,beetle_0038,pigeon_0038,woven_0038,goldenretriever_0038
further,bluesedan_0037,doberman_0037,tomtit_0037,sling_0037
further,beetle_0021,goldenretriever_0021,woven_0021,pigeon_0021
further,chihuahua_0006,nightingale_0006,redantique_0006,waiting_0006
further,bluesedan_0027,sling_0027,tomtit_0027,doberman_0027
further,beetle_0018,goldenretriever_0018,pigeon_0018,woven_0018
further,bluejay_0003,bluesport_0003,inlay_0003,weimaraner_0003
further,bluejay_0011,inlay_0011,weimaraner_0011,bluesport_0011
further,bluesport_0029,inlay_0029,weimaraner_0029,bluejay_0029
further,doberman_0007,sling_0007,tomtit_0007,bluesedan_0007
further,nightingale_0020,redantique_0020,waiting_0020,chihuahua_0020
further,bluesedan_0028,doberman_0028,sling_0028,tomtit_0028
further,chihuahua_0022,redantique_0022,waiting_0022,nightingale_0022
further,knob_0009,pug_0009,tomtit_0009,redantique_0009
further,bluejay_0004,doberman_0004,straight_0004,redsport_0004
further,bloodhound_0010,bluesport_0010,nightingale_0010,inlay_0010
further,bluejay_0039,doberman_0039,redsport_0039,straight_0039
further,doberman_0003,redsport_0003,straight_0003,bluejay_0003
further,bullmastiff_0020,leather_0020,sparrow_0020,beetle_0020
further,knob_0018,redantique_0018,tomtit_0018,pug_0018
further,knob_0008,pug_0008,redantique_0008,tomtit_0008
further,beetle_0037,bullmastiff_0037,leather_0037,sparrow_0037
further,bluejay_0034,redsport_0034,straight_0034,doberman_0034
further,beetle_0026,leather_0026,sparrow_0026,bullmastiff_0026
further,pug_0005,redantique_0005,tomtit_0005,knob_0005
further,bloodhound_0000,bluesport_0000,inlay_0000,nightingale_0000
further,bloodhound_0028,inlay_0028,nightingale_0028,bluesport_0028
further,bluesport_0029,inlay_0029,nightingale_0029,bloodhound_0029
further,beetle_0019,bullmastiff_0019,sparrow_0019,leather_0019
further,bluesport_0028,doberman_0028,sling_0028,robin_0028
further,doberman_0003,robin_0003,sling_0003,bluesport_0003
further,bluesport_0019,robin_0019,sling_0019,doberman_0019
further,bloodhound_0007,bluejay_0007,brown_0007,knob_0007
further,basset_0029,redsport_0029,squat_0029,sparrow_0029
further,redsport_0006,sparrow_0006,squat_0006,basset_0006
further,beetle_0035,crow_0035,woven_0035,bullmastiff_0035
further,beetle_0038,bullmastiff_0038,crow_0038,woven_0038
further,bluejay_0036,brown_0036,knob_0036,bloodhound_0036
further,bullmastiff_0027,crow_0027,woven_0027,beetle_0027
further,bloodhound_0001,brown_0001,knob_0001,bluejay_0001
further,bloodhound_0010,bluejay_0010,knob_0010,brown_0010
further,basset_0023,sparrow_0023,squat_0023,redsport_0023
further,bluesport_0013,doberman_0013,robin_0013,sling_0013
further,beetle_0039,bullmastiff_0039,woven_0039,crow_0039
further,basset_0026,redsport_0026,sparrow_0026,squat_0026
further,bluesedan_0015,goldenretriever_0015,sparrow_0015,sling_0015
further,chihuahua_0029,redantique_0029,squat_0029,pigeon_0029
further,crow_0006,inlay_0006,weimaraner_0006,white_0006
further,chihuahua_0013,pigeon_0013,redantique_0013,squat_0013
further,bluejay_0007,doberman_0007,knob_0007,bluesport_0007
further,crow_0022,inlay_0022,white_0022,weimaraner_0022
further,bluejay_0019,bluesport_0019,knob_0019,doberman_0019
further,bluesedan_0010,sling_0010,sparrow_0010,goldenretriever_0010
further,bluejay_0032,bluesport_0032,doberman_0032,knob_0032
further,pigeon_0030,redantique_0030,squat_0030,chihuahua_0030
further,bluesedan_0004,goldenretriever_0004,sling_0004,sparrow_0004
further,bluesport_0036,doberman_0036,knob_0036,bluejay_0036
