condition,object1Name,object2Name,object3Name,object4Name
closer,bloodhound,basset,bullmastiff,goldenretriever
closer,tomtit,cuckoo,robin,sparrow
closer,robin,cuckoo,sparrow,tomtit
closer,cuckoo,robin,sparrow,tomtit
closer,sling,inlay,leather,waiting
further,crow,bluesedan,pug,woven
closer,white,brown,redantique,redsport
closer,goldenretriever,basset,bloodhound,bullmastiff
further,bluesedan,crow,pug,woven
further,squat,beetle,chihuahua,nightingale
further,nightingale,beetle,chihuahua,squat
further,chihuahua,beetle,nightingale,squat
closer,sparrow,cuckoo,robin,tomtit
further,knob,doberman,hatchback,pigeon
further,doberman,hatchback,knob,pigeon
closer,bullmastiff,basset,bloodhound,goldenretriever
further,straight,bluejay,bluesport,weimaraner
closer,redantique,brown,redsport,white
further,weimaraner,bluejay,bluesport,straight
closer,inlay,leather,sling,waiting
closer,redsport,brown,redantique,white
further,bluejay,bluesport,straight,weimaraner
further,bluesport,bluejay,straight,weimaraner
further,pigeon,doberman,hatchback,knob
further,pug,bluesedan,crow,woven
further,hatchback,doberman,knob,pigeon
closer,basset,bloodhound,bullmastiff,goldenretriever
closer,tomtit,crow,nightingale,pigeon
further,straight,bloodhound,bluesport,cuckoo
closer,redantique,bluesedan,brown,hatchback
closer,goldenretriever,bullmastiff,doberman,weimaraner
further,chihuahua,redsport,robin,sling
closer,crow,nightingale,pigeon,tomtit
further,robin,chihuahua,redsport,sling
closer,waiting,knob,leather,woven
closer,bluesedan,brown,hatchback,redantique
further,inlay,pug,sparrow,white
further,redsport,chihuahua,robin,sling
closer,hatchback,bluesedan,brown,redantique
further,bloodhound,bluesport,cuckoo,straight
closer,woven,knob,leather,waiting
closer,weimaraner,bullmastiff,doberman,goldenretriever
further,squat,basset,beetle,bluejay
closer,doberman,bullmastiff,goldenretriever,weimaraner
further,beetle,basset,bluejay,squat
further,pug,inlay,sparrow,white
closer,brown,bluesedan,hatchback,redantique
further,bluejay,basset,beetle,squat
further,white,inlay,pug,sparrow
further,cuckoo,bloodhound,bluesport,straight
further,sling,chihuahua,redsport,robin
closer,leather,knob,waiting,woven
further,bluesport,bloodhound,cuckoo,straight
further,basset,beetle,bluejay,squat
closer,nightingale,crow,pigeon,tomtit
closer,bullmastiff,doberman,goldenretriever,weimaraner
closer,knob,leather,waiting,woven
further,sparrow,inlay,pug,white
closer,pigeon,crow,nightingale,tomtit
further,sling,basset,bluesport,tomtit
further,bullmastiff,redantique,sparrow,straight
further,bluesedan,cuckoo,goldenretriever,inlay
closer,robin,bluejay,crow,nightingale
closer,pug,bloodhound,doberman,weimaraner
further,bluesport,basset,sling,tomtit
closer,crow,bluejay,nightingale,robin
further,cuckoo,bluesedan,goldenretriever,inlay
closer,redsport,beetle,brown,hatchback
closer,bloodhound,doberman,pug,weimaraner
closer,nightingale,bluejay,crow,robin
closer,bluejay,crow,nightingale,robin
further,white,chihuahua,pigeon,waiting
further,inlay,bluesedan,cuckoo,goldenretriever
further,straight,bullmastiff,redantique,sparrow
closer,squat,knob,leather,woven
closer,woven,knob,leather,squat
further,sparrow,bullmastiff,redantique,straight
further,basset,bluesport,sling,tomtit
closer,beetle,brown,hatchback,redsport
further,tomtit,basset,bluesport,sling
closer,leather,knob,squat,woven
closer,brown,beetle,hatchback,redsport
further,waiting,chihuahua,pigeon,white
closer,weimaraner,bloodhound,doberman,pug
further,redantique,bullmastiff,sparrow,straight
further,chihuahua,pigeon,waiting,white
closer,knob,leather,squat,woven
closer,hatchback,beetle,brown,redsport
closer,doberman,bloodhound,pug,weimaraner
further,goldenretriever,bluesedan,cuckoo,inlay
further,pigeon,chihuahua,waiting,white
further,doberman,bluesport,sling,tomtit
closer,redantique,beetle,redsport,white
further,bloodhound,bluejay,brown,inlay
closer,pigeon,crow,cuckoo,robin
further,inlay,bloodhound,bluejay,brown
further,bluesedan,nightingale,weimaraner,woven
closer,basset,bullmastiff,goldenretriever,pug
further,weimaraner,bluesedan,nightingale,woven
closer,cuckoo,crow,pigeon,robin
further,nightingale,bluesedan,weimaraner,woven
further,sling,bluesport,doberman,tomtit
further,bluejay,bloodhound,brown,inlay
closer,goldenretriever,basset,bullmastiff,pug
closer,crow,cuckoo,pigeon,robin
further,woven,bluesedan,nightingale,weimaraner
closer,squat,knob,leather,waiting
further,chihuahua,hatchback,sparrow,straight
further,bluesport,doberman,sling,tomtit
closer,white,beetle,redantique,redsport
further,sparrow,chihuahua,hatchback,straight
further,brown,bloodhound,bluejay,inlay
further,straight,chihuahua,hatchback,sparrow
closer,bullmastiff,basset,goldenretriever,pug
closer,leather,knob,squat,waiting
further,hatchback,chihuahua,sparrow,straight
closer,robin,crow,cuckoo,pigeon
closer,knob,leather,squat,waiting
closer,beetle,redantique,redsport,white
closer,redsport,beetle,redantique,white
closer,waiting,knob,leather,squat
closer,pug,basset,bullmastiff,goldenretriever
further,tomtit,bluesport,doberman,sling
further,beetle,bloodhound,crow,knob
closer,waiting,leather,sling,squat
further,nightingale,brown,goldenretriever,straight
closer,leather,sling,squat,waiting
further,cuckoo,bluesedan,inlay,weimaraner
further,crow,beetle,bloodhound,knob
further,woven,doberman,sparrow,white
closer,chihuahua,basset,bullmastiff,pug
further,brown,goldenretriever,nightingale,straight
further,bloodhound,beetle,crow,knob
further,sparrow,doberman,white,woven
further,bluesedan,cuckoo,inlay,weimaraner
closer,bullmastiff,basset,chihuahua,pug
closer,redsport,bluesport,hatchback,redantique
further,doberman,sparrow,white,woven
closer,redantique,bluesport,hatchback,redsport
closer,hatchback,bluesport,redantique,redsport
closer,tomtit,bluejay,pigeon,robin
further,goldenretriever,brown,nightingale,straight
further,knob,beetle,bloodhound,crow
further,white,doberman,sparrow,woven
further,weimaraner,bluesedan,cuckoo,inlay
closer,bluesport,hatchback,redantique,redsport
closer,pug,basset,bullmastiff,chihuahua
closer,pigeon,bluejay,robin,tomtit
closer,squat,leather,sling,waiting
closer,robin,bluejay,pigeon,tomtit
further,straight,brown,goldenretriever,nightingale
closer,basset,bullmastiff,chihuahua,pug
closer,sling,leather,squat,waiting
further,inlay,bluesedan,cuckoo,weimaraner
closer,bluejay,pigeon,robin,tomtit
closer,bullmastiff,chihuahua,doberman,pug
closer,leather,inlay,squat,straight
further,sparrow,bloodhound,hatchback,waiting
further,cuckoo,bluesport,sling,weimaraner
further,crow,basset,redantique,woven
closer,beetle,bluesedan,redsport,white
further,knob,brown,goldenretriever,tomtit
further,woven,basset,crow,redantique
closer,bluesedan,beetle,redsport,white
further,redantique,basset,crow,woven
further,weimaraner,bluesport,cuckoo,sling
closer,chihuahua,bullmastiff,doberman,pug
further,waiting,bloodhound,hatchback,sparrow
further,brown,goldenretriever,knob,tomtit
further,bloodhound,hatchback,sparrow,waiting
closer,doberman,bullmastiff,chihuahua,pug
closer,pug,bullmastiff,chihuahua,doberman
closer,redsport,beetle,bluesedan,white
further,goldenretriever,brown,knob,tomtit
further,tomtit,brown,goldenretriever,knob
further,sling,bluesport,cuckoo,weimaraner
closer,white,beetle,bluesedan,redsport
closer,squat,inlay,leather,straight
further,hatchback,bloodhound,sparrow,waiting
further,basset,crow,redantique,woven
further,bluesport,cuckoo,sling,weimaraner
closer,inlay,leather,squat,straight
closer,straight,inlay,leather,squat
further,bluejay,bloodhound,brown,waiting
further,redsport,basset,crow,straight
further,woven,bullmastiff,pigeon,white
further,white,bullmastiff,pigeon,woven
further,straight,basset,crow,redsport
closer,goldenretriever,chihuahua,pug,weimaraner
closer,sparrow,cuckoo,nightingale,robin
further,bloodhound,bluejay,brown,waiting
further,waiting,bloodhound,bluejay,brown
closer,nightingale,cuckoo,robin,sparrow
closer,robin,cuckoo,nightingale,sparrow
further,tomtit,doberman,redantique,sling
closer,chihuahua,goldenretriever,pug,weimaraner
closer,knob,inlay,leather,squat
closer,pug,chihuahua,goldenretriever,weimaraner
further,crow,basset,redsport,straight
further,basset,crow,redsport,straight
further,pigeon,bullmastiff,white,woven
closer,squat,inlay,knob,leather
further,sling,doberman,redantique,tomtit
further,bullmastiff,pigeon,white,woven
further,doberman,redantique,sling,tomtit
closer,weimaraner,chihuahua,goldenretriever,pug
closer,leather,inlay,knob,squat
closer,cuckoo,nightingale,robin,sparrow
further,brown,bloodhound,bluejay,waiting
further,redantique,doberman,sling,tomtit
closer,inlay,knob,leather,squat
closer,hatchback,beetle,bluesport,redantique
closer,pigeon,bluejay,cuckoo,nightingale
closer,nightingale,bluejay,cuckoo,pigeon
closer,bloodhound,chihuahua,goldenretriever,pug
closer,knob,squat,straight,woven
closer,cuckoo,bluejay,nightingale,pigeon
further,waiting,basset,tomtit,white
further,tomtit,basset,waiting,white
further,weimaraner,brown,robin,sling
closer,redantique,beetle,bluesport,hatchback
further,white,basset,tomtit,waiting
closer,woven,knob,squat,straight
closer,pug,bloodhound,chihuahua,goldenretriever
further,bluesedan,doberman,leather,sparrow
further,basset,tomtit,waiting,white
closer,bluejay,cuckoo,nightingale,pigeon
further,sparrow,bluesedan,doberman,leather
closer,bluesport,beetle,hatchback,redantique
further,leather,bluesedan,doberman,sparrow
further,brown,robin,sling,weimaraner
closer,squat,knob,straight,woven
closer,chihuahua,bloodhound,goldenretriever,pug
closer,beetle,bluesport,hatchback,redantique
further,doberman,bluesedan,leather,sparrow
further,sling,brown,robin,weimaraner
closer,straight,knob,squat,woven
closer,goldenretriever,bloodhound,chihuahua,pug
further,robin,brown,sling,weimaraner
closer,crow,nightingale,pigeon,sparrow
further,weimaraner,bluejay,inlay,redantique
further,hatchback,chihuahua,straight,tomtit
further,tomtit,chihuahua,hatchback,straight
closer,nightingale,crow,pigeon,sparrow
further,inlay,bluejay,redantique,weimaraner
closer,white,bluesport,brown,redsport
closer,bluesport,brown,redsport,white
closer,sling,leather,waiting,woven
further,straight,chihuahua,hatchback,tomtit
closer,bullmastiff,basset,doberman,pug
closer,doberman,basset,bullmastiff,pug
further,cuckoo,bluesedan,goldenretriever,knob
closer,redsport,bluesport,brown,white
closer,sparrow,crow,nightingale,pigeon
further,bloodhound,beetle,robin,squat
further,robin,beetle,bloodhound,squat
further,chihuahua,hatchback,straight,tomtit
further,goldenretriever,bluesedan,cuckoo,knob
closer,woven,leather,sling,waiting
closer,waiting,leather,sling,woven
further,knob,bluesedan,cuckoo,goldenretriever
further,bluejay,inlay,redantique,weimaraner
closer,pigeon,crow,nightingale,sparrow
further,bluesedan,cuckoo,goldenretriever,knob
further,beetle,bloodhound,robin,squat
closer,leather,sling,waiting,woven
further,squat,beetle,bloodhound,robin
closer,pug,basset,bullmastiff,doberman
further,redantique,bluejay,inlay,weimaraner
closer,basset,bullmastiff,doberman,pug
closer,brown,bluesport,redsport,white
closer,weimaraner,bloodhound,chihuahua,goldenretriever
further,hatchback,bluejay,bullmastiff,inlay
closer,squat,knob,leather,straight
closer,sparrow,cuckoo,nightingale,pigeon
closer,chihuahua,bloodhound,goldenretriever,weimaraner
further,crow,bluesport,doberman,sling
closer,goldenretriever,bloodhound,chihuahua,weimaraner
further,woven,pug,redsport,tomtit
closer,knob,leather,squat,straight
closer,cuckoo,nightingale,pigeon,sparrow
further,doberman,bluesport,crow,sling
closer,straight,knob,leather,squat
further,pug,redsport,tomtit,woven
further,redsport,pug,tomtit,woven
closer,brown,beetle,bluesedan,white
further,robin,basset,redantique,waiting
closer,white,beetle,bluesedan,brown
further,bullmastiff,bluejay,hatchback,inlay
further,tomtit,pug,redsport,woven
closer,bluesedan,beetle,brown,white
further,redantique,basset,robin,waiting
further,waiting,basset,redantique,robin
further,sling,bluesport,crow,doberman
further,inlay,bluejay,bullmastiff,hatchback
further,basset,redantique,robin,waiting
closer,beetle,bluesedan,brown,white
further,bluesport,crow,doberman,sling
further,bluejay,bullmastiff,hatchback,inlay
closer,bloodhound,chihuahua,goldenretriever,weimaraner
closer,leather,knob,squat,straight
closer,pigeon,cuckoo,nightingale,sparrow
closer,nightingale,cuckoo,pigeon,sparrow
further,woven,bluesport,chihuahua,robin
further,bluesport,chihuahua,robin,woven
closer,leather,inlay,knob,straight
closer,doberman,bullmastiff,goldenretriever,pug
closer,goldenretriever,bullmastiff,doberman,pug
closer,redantique,bluesedan,brown,white
closer,white,bluesedan,brown,redantique
further,hatchback,basset,crow,squat
closer,bluesedan,brown,redantique,white
closer,inlay,knob,leather,straight
further,sling,bloodhound,cuckoo,redsport
closer,bluejay,nightingale,pigeon,tomtit
further,robin,bluesport,chihuahua,woven
further,redsport,bloodhound,cuckoo,sling
closer,pug,bullmastiff,doberman,goldenretriever
further,sparrow,beetle,waiting,weimaraner
further,chihuahua,bluesport,robin,woven
further,beetle,sparrow,waiting,weimaraner
further,basset,crow,hatchback,squat
further,crow,basset,hatchback,squat
closer,nightingale,bluejay,pigeon,tomtit
closer,pigeon,bluejay,nightingale,tomtit
closer,bullmastiff,doberman,goldenretriever,pug
closer,straight,inlay,knob,leather
further,waiting,beetle,sparrow,weimaraner
closer,knob,inlay,leather,straight
further,squat,basset,crow,hatchback
further,cuckoo,bloodhound,redsport,sling
further,bloodhound,cuckoo,redsport,sling
closer,brown,bluesedan,redantique,white
closer,tomtit,bluejay,nightingale,pigeon
further,weimaraner,beetle,sparrow,waiting
closer,doberman,basset,bloodhound,chihuahua
further,inlay,crow,pug,redsport
further,tomtit,bluesedan,bullmastiff,waiting
closer,brown,bluesport,redantique,white
closer,sparrow,bluejay,nightingale,pigeon
further,goldenretriever,beetle,cuckoo,knob
further,cuckoo,beetle,goldenretriever,knob
closer,basset,bloodhound,chihuahua,doberman
further,waiting,bluesedan,bullmastiff,tomtit
further,sling,hatchback,robin,weimaraner
closer,redantique,bluesport,brown,white
closer,leather,squat,straight,woven
further,redsport,crow,inlay,pug
closer,nightingale,bluejay,pigeon,sparrow
closer,chihuahua,basset,bloodhound,doberman
closer,white,bluesport,brown,redantique
further,bluesedan,bullmastiff,tomtit,waiting
closer,bloodhound,basset,chihuahua,doberman
closer,bluejay,nightingale,pigeon,sparrow
further,knob,beetle,cuckoo,goldenretriever
further,robin,hatchback,sling,weimaraner
further,hatchback,robin,sling,weimaraner
closer,straight,leather,squat,woven
closer,pigeon,bluejay,nightingale,sparrow
further,weimaraner,hatchback,robin,sling
closer,squat,leather,straight,woven
further,beetle,cuckoo,goldenretriever,knob
closer,bluesport,brown,redantique,white
further,pug,crow,inlay,redsport
further,bullmastiff,bluesedan,tomtit,waiting
closer,woven,leather,squat,straight
further,crow,inlay,pug,redsport
further,bluesedan,basset,cuckoo,squat
closer,inlay,leather,waiting,woven
further,pigeon,bloodhound,redsport,straight
closer,pug,bullmastiff,doberman,weimaraner
further,tomtit,goldenretriever,sling,white
further,beetle,chihuahua,knob,robin
closer,waiting,inlay,leather,woven
closer,sparrow,bluejay,crow,nightingale
closer,woven,inlay,leather,waiting
further,squat,basset,bluesedan,cuckoo
further,cuckoo,basset,bluesedan,squat
further,robin,beetle,chihuahua,knob
closer,bluejay,crow,nightingale,sparrow
further,white,goldenretriever,sling,tomtit
further,sling,goldenretriever,tomtit,white
closer,brown,bluesport,hatchback,redantique
closer,bullmastiff,doberman,pug,weimaraner
further,knob,beetle,chihuahua,robin
closer,leather,inlay,waiting,woven
closer,doberman,bullmastiff,pug,weimaraner
closer,crow,bluejay,nightingale,sparrow
further,bloodhound,pigeon,redsport,straight
closer,bluesport,brown,hatchback,redantique
closer,weimaraner,bullmastiff,doberman,pug
closer,nightingale,bluejay,crow,sparrow
closer,hatchback,bluesport,brown,redantique
further,goldenretriever,sling,tomtit,white
closer,redantique,bluesport,brown,hatchback
further,basset,bluesedan,cuckoo,squat
further,redsport,bloodhound,pigeon,straight
further,straight,bloodhound,pigeon,redsport
further,chihuahua,beetle,knob,robin
further,tomtit,bluesport,bullmastiff,inlay
further,sparrow,bloodhound,brown,leather
further,inlay,bluesport,bullmastiff,tomtit
further,brown,bloodhound,leather,sparrow
further,bluejay,sling,weimaraner,white
further,bluesport,bullmastiff,inlay,tomtit
closer,robin,crow,nightingale,pigeon
further,cuckoo,doberman,hatchback,squat
closer,pigeon,crow,nightingale,robin
closer,woven,knob,straight,waiting
closer,knob,straight,waiting,woven
further,bloodhound,brown,leather,sparrow
closer,nightingale,crow,pigeon,robin
closer,beetle,bluesedan,redantique,redsport
further,white,bluejay,sling,weimaraner
closer,redsport,beetle,bluesedan,redantique
closer,redantique,beetle,bluesedan,redsport
closer,bluesedan,beetle,redantique,redsport
further,sling,bluejay,weimaraner,white
closer,basset,chihuahua,goldenretriever,pug
further,hatchback,cuckoo,doberman,squat
closer,goldenretriever,basset,chihuahua,pug
closer,waiting,knob,straight,woven
closer,pug,basset,chihuahua,goldenretriever
further,bullmastiff,bluesport,inlay,tomtit
further,weimaraner,bluejay,sling,white
closer,chihuahua,basset,goldenretriever,pug
closer,straight,knob,waiting,woven
closer,crow,nightingale,pigeon,robin
further,squat,cuckoo,doberman,hatchback
further,doberman,cuckoo,hatchback,squat
further,leather,bloodhound,brown,sparrow
further,bullmastiff,bluesport,crow,squat
closer,cuckoo,nightingale,sparrow,tomtit
closer,inlay,knob,sling,waiting
further,woven,goldenretriever,robin,white
closer,doberman,basset,bloodhound,pug
further,crow,bluesport,bullmastiff,squat
further,bluesedan,chihuahua,pigeon,straight
further,robin,goldenretriever,white,woven
closer,basset,bloodhound,doberman,pug
closer,nightingale,cuckoo,sparrow,tomtit
closer,tomtit,cuckoo,nightingale,sparrow
further,pigeon,bluesedan,chihuahua,straight
closer,bloodhound,basset,doberman,pug
further,redantique,bluejay,leather,weimaraner
closer,sparrow,cuckoo,nightingale,tomtit
further,weimaraner,bluejay,leather,redantique
further,chihuahua,bluesedan,pigeon,straight
further,goldenretriever,robin,white,woven
closer,knob,inlay,sling,waiting
further,straight,bluesedan,chihuahua,pigeon
further,squat,bluesport,bullmastiff,crow
further,white,goldenretriever,robin,woven
closer,sling,inlay,knob,waiting
further,leather,bluejay,redantique,weimaraner
further,bluesport,bullmastiff,crow,squat
closer,pug,basset,bloodhound,doberman
further,bluejay,leather,redantique,weimaraner
closer,waiting,inlay,knob,sling
further,redantique,chihuahua,nightingale,waiting
closer,cuckoo,crow,robin,sparrow
closer,redsport,brown,hatchback,white
further,beetle,goldenretriever,pigeon,woven
closer,hatchback,brown,redsport,white
closer,basset,bloodhound,bullmastiff,pug
further,inlay,bluejay,bluesport,weimaraner
further,goldenretriever,beetle,pigeon,woven
closer,crow,cuckoo,robin,sparrow
further,sling,bluesedan,doberman,tomtit
closer,pug,basset,bloodhound,bullmastiff
further,pigeon,beetle,goldenretriever,woven
closer,brown,hatchback,redsport,white
closer,white,brown,hatchback,redsport
further,waiting,chihuahua,nightingale,redantique
closer,sparrow,crow,cuckoo,robin
closer,robin,crow,cuckoo,sparrow
further,doberman,bluesedan,sling,tomtit
closer,bullmastiff,basset,bloodhound,pug
further,woven,beetle,goldenretriever,pigeon
further,weimaraner,bluejay,bluesport,inlay
further,bluesport,bluejay,inlay,weimaraner
closer,bloodhound,basset,bullmastiff,pug
further,bluejay,bluesport,inlay,weimaraner
further,bluesedan,doberman,sling,tomtit
further,chihuahua,nightingale,redantique,waiting
further,tomtit,bluesedan,doberman,sling
further,nightingale,chihuahua,redantique,waiting
closer,woven,sling,squat,waiting
further,redantique,knob,pug,tomtit
further,redsport,bluejay,doberman,straight
closer,brown,bluesedan,hatchback,white
closer,bluesedan,brown,hatchback,white
further,inlay,bloodhound,bluesport,nightingale
further,straight,bluejay,doberman,redsport
further,bluejay,doberman,redsport,straight
closer,sling,squat,waiting,woven
further,beetle,bullmastiff,leather,sparrow
closer,white,bluesedan,brown,hatchback
further,pug,knob,redantique,tomtit
further,tomtit,knob,pug,redantique
further,sparrow,beetle,bullmastiff,leather
further,doberman,bluejay,redsport,straight
closer,goldenretriever,basset,chihuahua,weimaraner
closer,waiting,sling,squat,woven
closer,squat,sling,waiting,woven
further,bullmastiff,beetle,leather,sparrow
further,knob,pug,redantique,tomtit
further,nightingale,bloodhound,bluesport,inlay
closer,basset,chihuahua,goldenretriever,weimaraner
closer,chihuahua,basset,goldenretriever,weimaraner
closer,hatchback,bluesedan,brown,white
further,bluesport,bloodhound,inlay,nightingale
closer,weimaraner,basset,chihuahua,goldenretriever
further,bloodhound,bluesport,inlay,nightingale
further,leather,beetle,bullmastiff,sparrow
further,robin,bluesport,doberman,sling
further,bluesport,doberman,robin,sling
closer,cuckoo,nightingale,pigeon,tomtit
further,doberman,bluesport,robin,sling
further,knob,bloodhound,bluejay,brown
further,sparrow,basset,redsport,squat
closer,leather,inlay,straight,waiting
closer,white,bluesedan,hatchback,redantique
further,basset,redsport,sparrow,squat
closer,waiting,inlay,leather,straight
further,bullmastiff,beetle,crow,woven
closer,inlay,leather,straight,waiting
closer,bluesedan,hatchback,redantique,white
further,woven,beetle,bullmastiff,crow
closer,nightingale,cuckoo,pigeon,tomtit
closer,redantique,bluesedan,hatchback,white
further,bloodhound,bluejay,brown,knob
further,beetle,bullmastiff,crow,woven
further,bluejay,bloodhound,brown,knob
closer,straight,inlay,leather,waiting
closer,hatchback,bluesedan,redantique,white
further,brown,bloodhound,bluejay,knob
closer,pigeon,cuckoo,nightingale,tomtit
further,redsport,basset,sparrow,squat
closer,tomtit,cuckoo,nightingale,pigeon
further,sling,bluesport,doberman,robin
further,crow,beetle,bullmastiff,woven
further,squat,basset,redsport,sparrow
further,sling,bluesedan,goldenretriever,sparrow
further,pigeon,chihuahua,redantique,squat
closer,tomtit,cuckoo,nightingale,robin
closer,straight,leather,waiting,woven
further,white,crow,inlay,weimaraner
further,squat,chihuahua,pigeon,redantique
closer,waiting,leather,straight,woven
further,bluesport,bluejay,doberman,knob
further,weimaraner,crow,inlay,white
further,doberman,bluejay,bluesport,knob
further,goldenretriever,bluesedan,sling,sparrow
closer,leather,straight,waiting,woven
closer,cuckoo,nightingale,robin,tomtit
further,knob,bluejay,bluesport,doberman
further,chihuahua,pigeon,redantique,squat
further,sparrow,bluesedan,goldenretriever,sling
closer,nightingale,cuckoo,robin,tomtit
closer,woven,leather,straight,waiting
further,bluejay,bluesport,doberman,knob
closer,robin,cuckoo,nightingale,tomtit
further,crow,inlay,weimaraner,white
further,inlay,crow,weimaraner,white
further,bluesedan,goldenretriever,sling,sparrow
further,redantique,chihuahua,pigeon,squat
further,squat,basset,cuckoo,redantique
further,sling,bluejay,bluesport,bullmastiff
closer,doberman,chihuahua,goldenretriever,pug
further,weimaraner,pigeon,redsport,waiting
further,redsport,pigeon,waiting,weimaraner
further,cuckoo,basset,redantique,squat
further,nightingale,beetle,bloodhound,woven
further,redantique,basset,cuckoo,squat
further,waiting,pigeon,redsport,weimaraner
closer,goldenretriever,chihuahua,doberman,pug
further,beetle,bloodhound,nightingale,woven
further,woven,beetle,bloodhound,nightingale
closer,crow,robin,sparrow,tomtit
further,bloodhound,beetle,nightingale,woven
closer,sparrow,crow,robin,tomtit
further,pigeon,redsport,waiting,weimaraner
closer,pug,chihuahua,doberman,goldenretriever
closer,robin,crow,sparrow,tomtit
further,bullmastiff,bluejay,bluesport,sling
further,bluejay,bluesport,bullmastiff,sling
closer,tomtit,crow,robin,sparrow
closer,chihuahua,doberman,goldenretriever,pug
further,bluesport,bluejay,bullmastiff,sling
further,basset,cuckoo,redantique,squat
closer,bluesport,beetle,redantique,redsport
further,pigeon,bloodhound,bluesedan,woven
further,knob,goldenretriever,hatchback,sparrow
further,hatchback,goldenretriever,knob,sparrow
closer,inlay,leather,squat,waiting
further,sling,basset,brown,cuckoo
closer,leather,inlay,squat,waiting
closer,beetle,bluesport,redantique,redsport
closer,bluejay,nightingale,robin,tomtit
closer,robin,bluejay,nightingale,tomtit
closer,squat,inlay,leather,waiting
further,cuckoo,basset,brown,sling
further,brown,basset,cuckoo,sling
closer,redantique,beetle,bluesport,redsport
further,crow,chihuahua,straight,white
further,straight,chihuahua,crow,white
closer,redsport,beetle,bluesport,redantique
closer,waiting,inlay,leather,squat
further,white,chihuahua,crow,straight
closer,tomtit,bluejay,nightingale,robin
further,woven,bloodhound,bluesedan,pigeon
further,goldenretriever,hatchback,knob,sparrow
further,sparrow,goldenretriever,hatchback,knob
further,bluesedan,bloodhound,pigeon,woven
further,bloodhound,bluesedan,pigeon,woven
closer,nightingale,bluejay,robin,tomtit
further,chihuahua,crow,straight,white
further,basset,brown,cuckoo,sling
further,white,bloodhound,crow,straight
further,inlay,basset,brown,robin
closer,chihuahua,bullmastiff,pug,weimaraner
closer,weimaraner,bullmastiff,chihuahua,pug
further,basset,brown,inlay,robin
further,straight,bloodhound,crow,white
further,bloodhound,crow,straight,white
closer,sparrow,bluejay,cuckoo,nightingale
closer,bullmastiff,chihuahua,pug,weimaraner
further,bluesedan,doberman,leather,pigeon
closer,pug,bullmastiff,chihuahua,weimaraner
further,leather,bluesedan,doberman,pigeon
closer,cuckoo,bluejay,nightingale,sparrow
closer,nightingale,bluejay,cuckoo,sparrow
further,pigeon,bluesedan,doberman,leather
further,brown,basset,inlay,robin
further,robin,basset,brown,inlay
closer,knob,squat,waiting,woven
further,goldenretriever,beetle,sling,tomtit
