workerid,totalLength,gameID,thinksHuman,confused,comments,ratePartner,role,nativeEnglish
27,1289867,7349-b,yes,yes,It&quotechars much longer than 17 minutes to complete this.,liked,listener,yes
28,905467,0392-3,yes,yes,,loved,listener,yes
29,1205408,3146-0,yes,yes,This was fun,okay,listener,yes
30,855799,0392-3,yes,yes,,loved,speaker,yes
31,1437931,0377-3,yes,yes,no,liked,listener,yes
32,965232,7965-4,yes,yes,nope!,loved,speaker,yes
33,954492,7965-4,yes,yes,No comments,liked,listener,yes
34,1562689,0377-3,yes,yes,I thought we were going to see feedback on whether we communicated correctly but I couldn&quotechart see any feedback. ,liked,speaker,yes
35,1367589,3146-0,yes,yes,I assumed we got most of them correct because my partner only asked questions about a few. I couldn&quotechart tell which one they selected like the instructions said. maybe you can fix that to be more obvious or add additional milliseconds delay if it was shown I missed it. there were a few recognizable shapes so it really wasn&quotechart that difficult to distinguish them,loved,speaker,yes
36,1162315,0868-9,yes,yes,Thanks!,loved,speaker,yes
37,1095751,0868-9,yes,yes,"This was a lot of fun, and I really enjoyed interacting with another turker. Thanks so much for allowing me to participate, and I hope you have a great day!",loved,listener,yes
38,844732,1202-1,yes,yes,,loved,listener,yes
39,882542,1202-1,yes,yes,no,loved,speaker,yes
40,1183355,2791-1,yes,yes,,okay,speaker,yes
41,1179696,2791-1,yes,yes,I enjoyed it!,okay,listener,yes
42,1171566,5063-5,yes,yes,,liked,speaker,yes
43,1211938,5063-5,yes,yes,no.,liked,listener,no
44,1444711,2189-9,yes,yes,"great HIT, thanks.",loved,listener,yes
45,1102244,5517-f,yes,yes,Interesting task!,okay,speaker,yes
46,1121365,5517-f,yes,yes,no,loved,listener,yes
47,1520484,2189-9,yes,yes,"I wasn&quotechart shown feedback when it said I would be.  Also, it&quotechars underpaid, even with a 50 cent bonus.",loved,speaker,yes
48,1290347,4192-c,yes,yes,"No, thank you for the study.",liked,listener,yes
49,2466509,9992-e,yes,yes,no comments,okay,speaker,yes
50,2202017,9992-e,yes,yes,,not much,listener,yes
51,742282,0128-8,yes,yes,none,okay,listener,yes
52,806804,0128-8,yes,yes,,liked,speaker,yes
53,1471089,1358-6,yes,yes,,loved,speaker,yes
54,1509863,8365-9,yes,yes,,liked,speaker,yes
55,1503058,8365-9,yes,yes,thanks for the fun experiment,liked,listener,yes
56,1213248,1978-0,yes,yes,,liked,speaker,yes
57,1264550,6234-e,yes,yes,,loved,speaker,yes
58,1259977,6234-e,yes,yes,,loved,listener,yes
59,1234790,1978-0,yes,yes,it was fun,loved,listener,yes
60,1677189,9589-3,yes,yes,"nope, ty",okay,listener,yes
61,1685559,9589-3,yes,yes,,loved,speaker,yes
62,1438400,3550-f,yes,yes,This was fun.,loved,listener,yes
63,1459685,3550-f,yes,yes,Higher bonus payment plz,liked,speaker,yes
64,968467,9279-b,yes,yes,None,loved,speaker,yes
65,1759297,5515-0,yes,yes,It was very nice,liked,speaker,yes
66,974166,9279-b,no,yes,no comments,loved,listener,yes
67,1754722,5515-0,yes,yes,Great hit!,loved,listener,no
68,1350186,1634-b,yes,yes,,liked,speaker,yes
69,1348767,1634-b,yes,yes,,loved,listener,yes
70,1572958,6573-8,yes,yes,,loved,listener,yes
71,1731487,6573-8,yes,yes,,loved,speaker,yes
72,971957,3724-b,yes,yes,,liked,speaker,yes
73,970381,3724-b,yes,yes,,loved,listener,yes
74,1543571,7096-6,yes,yes,no,okay,speaker,yes
75,1347501,4180-c,yes,yes,was fun,loved,speaker,yes
76,1333979,4180-c,yes,yes,none,liked,listener,yes
77,1766017,1660-1,yes,yes,:),loved,speaker,yes
78,1036983,4323-1,yes,yes,Fun experiment,loved,speaker,yes
79,1003510,4323-1,yes,yes,no,loved,listener,yes
80,1268447,3353-2,yes,yes,,liked,speaker,yes
81,1229474,3353-2,yes,yes,fun,loved,listener,yes
82,1775536,1660-1,yes,yes,I enjoyed my participation. Thanks,loved,listener,yes
83,1448304,7096-6,yes,yes,"That partner was ridiculously bad... slow and descriptions that were too abstract to be reliable. (Note - I did the colors version, I went ahead with this because it seemed different enough that you&quotechard have used an exclusion qualifier if you didn&quotechart want color participants taking this.)",not much,listener,yes
84,1136427,2357-e,yes,yes,This was a fun experiment.,loved,speaker,yes
85,851841,9794-5,yes,yes,,loved,speaker,yes
86,686520,9794-5,yes,yes,,loved,listener,yes
87,1619061,2860-0,yes,yes,"None, thanks.",liked,speaker,yes
88,979001,4312-0,yes,yes,,liked,listener,yes
89,1174763,4233-c,yes,yes,none,okay,speaker,yes
90,1097988,4233-c,yes,yes,,liked,listener,yes
91,1580720,3480-7,yes,yes,I thought this hit was fun!,loved,listener,yes
92,1600572,3480-7,yes,yes,Fun HIT. Thank you.,loved,speaker,yes
93,983655,8837-0,NA,yes,none,liked,speaker,yes
94,976996,8837-0,yes,yes,"This was fun I really enjoy interactive hits where you get to work with others. I&quotechard love to be contacted if you have anymore hits i&quotecharll leave my email, bmizell22@gmail.com. I&quotecharll be looking out for your hits in the future!",loved,listener,yes
95,1003433,4061-1,yes,yes,,liked,speaker,yes
96,766880,4061-1,yes,yes,no,liked,listener,yes
97,1665978,6628-5,yes,yes,,liked,speaker,yes
98,1534913,6628-5,yes,yes,Thank you,liked,listener,yes
99,2010158,6855-9,yes,yes,no,not much,listener,yes
100,269014,4786-c,yes,yes,"Well, I didn&quotechart actually play any rounds - I&quotecharm guessing the person I was playing with quit before answering the first question? Too bad, looked like it might be fun!",not much,speaker,yes
101,1023142,0007-b,yes,yes,,liked,speaker,yes
102,1014034,0007-b,yes,yes,,liked,listener,yes
103,1703455,8411-c,yes,yes,No,loved,speaker,yes
104,1580413,8411-c,yes,yes,"I wish there was a way to send them one final ""gg mate"" message :p",loved,listener,yes
105,1081270,2204-f,yes,yes,,liked,listener,yes
106,1094726,2204-f,yes,yes,Thank you for using MTurk!,liked,speaker,yes
107,530042,4786-c,yes,yes,Did the other player leave the experiment early or is the HIT broken?  I only got one round of the experiment and then went directly to the comments page.,not much,listener,yes
108,1420442,5034-e,yes,yes,None,loved,speaker,yes
109,951014,9632-2,yes,yes,,liked,speaker,yes
110,1417164,7616-0,yes,yes,,liked,speaker,yes
111,895472,9632-2,no,yes,,okay,listener,yes
112,1431516,7616-0,yes,yes,I enjoyed participating in this experiment!,loved,listener,yes
113,1485728,5034-e,yes,yes,"Runs pretty long for the amount of compensation given. If the shapes were easier to describe, this would go much quicker. Fortunately, I did not have to wait for a partner, but I suspect my partner was waiting for quite a while because this HIT was being returned so many times.",okay,listener,yes
114,838231,1349-5,no,yes,,not much,speaker,yes
115,856295,1349-5,yes,yes,"Finding ""Star Trek emblem"" and ""8"" really helped",loved,listener,yes
116,1279186,9755-d,yes,yes,Fascinating. My partner did a great job describing the scribbles.,loved,listener,yes
117,1297976,9755-d,yes,yes,I did not see feedback on our collaboration and expected more interaction with other player,liked,speaker,yes
118,1759035,9493-6,yes,yes,,liked,speaker,yes
119,1720884,9493-6,yes,yes,That was super fun. I loved it,loved,listener,yes
120,1359191,2903-d,yes,yes,,liked,listener,yes
121,1371290,2903-d,yes,yes,,liked,speaker,yes
122,1555044,6378-3,yes,yes,None.,liked,listener,yes
123,1785909,6378-3,yes,yes,Great hit. Would do these all day long with a good partner,loved,speaker,yes
124,1362287,8912-5,yes,yes,,okay,listener,yes
125,1346080,3162-6,yes,yes,Thank you for the opportunity to participate. It was fun.,liked,speaker,yes
126,1314825,3162-6,yes,yes,I had a lot of fun with this experiment. It&quotechars fun and challenging and was just something neat to experience.,loved,listener,yes
127,1431936,6834-0,yes,yes,,liked,listener,yes
128,1442012,6834-0,yes,yes,No Comments Thanks For Asking Though ;),loved,speaker,yes
129,1415441,8912-5,yes,yes,This was fun. Thanks for letting me participate!,loved,speaker,yes
130,839753,0753-4,yes,yes,,liked,listener,yes
131,967127,0753-4,yes,yes,This was fun!,loved,speaker,yes
132,1235103,9682-d,yes,yes,,liked,speaker,yes
133,1207060,9682-d,yes,yes,Great Experiment! Very fun and my partner was excellent at explaining! ,loved,listener,yes
134,1371974,7941-8,yes,yes,,loved,listener,yes
135,1430916,7941-8,yes,yes,Great experiment!,liked,speaker,yes
136,1365441,3831-2,yes,yes,That was really fun!,loved,listener,yes
137,1399280,3831-2,yes,yes,I loved it!,loved,speaker,yes
138,1574244,0428-4,yes,yes,"Sometimes it seemed to select a box other than the one I clicked, and the selected box also did not fit my partner&quotechars description.",loved,listener,yes
139,1315931,0610-f,no,yes,It was fun,liked,speaker,yes
140,1303452,0610-f,yes,yes,,liked,listener,yes
141,1226308,5597-8,yes,yes,very fun!,loved,speaker,yes
142,834912,5597-8,yes,yes,no,loved,listener,yes
143,1331198,4852-c,yes,yes,"That was so much fun, thank you!",loved,speaker,yes
144,1305451,4852-c,yes,yes,"This took a little longer than anticipated, based on the pay, but for the most part everything moved quickly and smoothly.",loved,listener,yes
145,868219,7012-2,yes,yes,,loved,speaker,yes
146,866009,7012-2,yes,yes,,liked,listener,yes
147,1566242,1737-2,yes,yes,Partner didn&quotechart respond for first two trials.,okay,listener,yes
148,902883,2412-9,yes,yes,no,liked,speaker,yes
149,892148,2412-9,yes,yes,,loved,listener,yes
150,895015,8828-f,yes,yes,None,loved,listener,yes
151,921215,8828-f,yes,yes,No comment.,liked,speaker,yes
152,1618277,9700-7,yes,yes,no,liked,speaker,yes
153,1587431,9700-7,yes,yes,,okay,listener,yes
154,1140558,4329-0,yes,yes,,loved,speaker,yes
155,1146201,4329-0,yes,yes,"this was fun , thank you so much!",loved,listener,yes
156,874812,5039-f,yes,yes,This was fun,liked,listener,yes
157,878204,5039-f,yes,yes,,liked,speaker,yes
158,1458917,3732-3,yes,yes,Nope,liked,listener,yes
159,1502353,3732-3,yes,yes,Thank you. It was fun and interesting.,not much,speaker,no
160,1389148,5676-3,yes,yes,This was fun. I liked having a real person on the other side to talk to.,liked,listener,yes
161,1427028,5676-3,yes,yes,Thank you!,loved,speaker,yes
162,617116,8490-e,yes,yes,,okay,listener,yes
163,691551,8490-e,no,yes,Thank you,okay,speaker,yes
164,788898,1298-4,yes,yes,,okay,listener,yes
165,939061,1592-f,no,yes,,okay,listener,yes
166,1028726,1592-f,yes,yes,good task,loved,speaker,yes
167,713210,6043-0,yes,yes,,loved,listener,yes
168,727869,6043-0,yes,yes,,liked,speaker,yes
169,2109547,2480-4,yes,yes,no,loved,speaker,yes
170,2102415,2480-4,no,yes,,not much,listener,yes
171,879255,7888-6,yes,yes,,loved,speaker,yes
172,886732,7888-6,yes,yes,"This was fun, and my partner did a great job with the clues.",loved,listener,yes
173,2326738,3821-8,yes,yes,no,loved,listener,yes
174,2404249,3821-8,yes,yes,It was nice having the opportunity to receive feedback from the other player to see if they needed more information.,liked,speaker,yes
175,1256740,2714-c,yes,yes,"none, thank you",loved,speaker,yes
176,1202914,2714-c,yes,yes,My partner gave exceptionally good guidelines and made the process very efficient!,loved,listener,yes
177,970300,6676-f,yes,yes,,liked,listener,yes
178,989991,6676-f,yes,yes,Fun,loved,speaker,yes
179,1170400,7389-b,yes,yes,"It was fun, thanks!",loved,speaker,yes
180,1410826,9677-3,yes,yes,,liked,listener,yes
181,1194509,7389-b,yes,yes,I did one with colors several weeks ago. These have both been really interesting. I&quotecharve been the listener and speaker. ,loved,listener,yes
182,1444234,9677-3,yes,yes,Fun. Thanks for the opportunity!!,loved,speaker,yes
183,973436,4336-6,yes,yes,,loved,listener,yes
184,1069022,4336-6,no,yes,"it was fun, I liked whomever did it with me.",loved,speaker,NA
185,1869566,0879-d,yes,yes,,not much,listener,yes
186,2311694,0879-d,yes,yes,no,okay,speaker,yes
187,1468541,5870-0,yes,yes,This was fun! Like charades!,okay,speaker,yes
188,1444142,5870-0,yes,yes,It was very fun!,loved,listener,yes
189,2131257,3180-3,no,yes,none. thank you!,loved,listener,yes
190,2136421,3180-3,no,yes,You didn&quotechart tell me which figures my partner chose like you said you would,not much,speaker,yes
191,931453,6033-4,yes,yes,,okay,listener,yes
192,1031279,6033-4,yes,yes,,loved,speaker,yes
193,314600,8345-1,yes,yes,"I&quotecharm not sure if my partner left or it was part of the experiment, since it ended in Round 8, I enjoyed the survey though",okay,listener,yes
194,1733504,7827-7,yes,yes,This was a little difficult,okay,listener,yes
195,1784981,7827-7,yes,yes,no,liked,speaker,yes
196,678857,2044-9,yes,yes,,loved,listener,yes
197,702050,2044-9,yes,yes,"Nope, that was fun!",loved,speaker,yes
198,1262940,8189-9,yes,yes,,okay,speaker,yes
199,1167703,8189-9,yes,yes,,liked,listener,yes
200,879902,4177-9,yes,yes,,okay,speaker,yes
201,817582,4177-9,no,yes,It was fun!,loved,listener,yes
202,1991114,6658-1,no,yes,,okay,speaker,yes
203,1916782,6658-1,yes,yes,none,liked,listener,yes
204,1119860,2698-f,yes,yes,No,okay,speaker,yes
205,958042,2698-f,yes,yes,None,loved,listener,yes
206,1381397,9620-5,yes,yes,"Great experiment, would love to help out again in the future :)",loved,listener,yes
207,1796135,9620-5,yes,yes,This is a pretty fun experiment!,loved,speaker,yes
208,897516,5176-5,yes,yes,nope,liked,listener,yes
209,1089525,5176-5,yes,yes,"very fun experiment, I would like to participate in more like it!",loved,speaker,yes
210,1081884,8484-0,yes,yes,,okay,listener,yes
211,1142499,8484-0,yes,yes,I liked this hit!!!,loved,speaker,yes
212,1073756,9675-f,yes,yes,thx,loved,listener,yes
213,1246829,9675-f,yes,yes,"None, Thanks!",loved,speaker,yes
214,2812016,6311-d,yes,yes,"This hit took a long time, estimated 20 minutes and I am at 51 on the timer....",not much,listener,yes
215,1655955,8025-4,yes,yes,,liked,speaker,yes
216,1210558,8025-4,yes,yes,Was a fun and challenging experiment. Had fun chatting with the other player while figuring out how to identify shapes. Loved the experiment.,loved,listener,yes
