gameid,roundNum,targetHex,alt1Hex,alt2Hex,clickStatus,strippedContents,cleanMsg
1124-1,49,#619E62,#818C73,#74A35C,target,not camo and not brown,camo brown
1124-1,50,#C7CF30,#FC4E03,#7D8280,target,YELLOW    ,yellow
8235-6,1,#5CC738,#B6D52A,#1B46E4,target,select the bright green  not the olive,select bright green olive
8235-6,2,#59AC53,#CFDF20,#A75883,target,green,green
8235-6,3,#CD4632,#A92DD2,#4BD22D,target,red,red
8235-6,4,#83827C,#DA25A1,#2283DD,target,grey,grey
8235-6,5,#AA7355,#9F606A,#8C7B73,target,brownish cream  not grey or pinkish,brownish cream grey pinkish
8235-6,6,#5969A6,#FC03A1,#708F8E,target,blue,blue
8235-6,7,#808080,#65709A,#8F7076,target,grey  you're doing great ,grey great
8235-6,8,#14EBB1,#56C43B,#4DB34D,target,teal  not the two that are more green ,teal two green
8235-6,9,#AA9D55,#A5BE41,#B44B77,target,brownish,brownish
8235-6,11,#80C43B,#8F9D62,#7AA15E,target,the bright green,bright green
8235-6,12,#B19C4E,#7C7D83,#9E618A,target,brownish,brownish
8235-6,13,#C35B3C,#2AD55D,#938E6C,target,reddish,reddish
8235-6,14,#837C81,#746B94,#5879A7,target,grey,grey
8235-6,15,#667C99,#669899,#14EBC0,target,dark blue,dark blue
8235-6,16,#644DB3,#3363CC,#4EB165,target,purple,purple
8235-6,17,#CB346E,#D52AA5,#B69749,target,dark pink  not bright pink,dark pink bright pink
8235-6,18,#39C663,#88A25D,#53AC91,target,brightest green,brightest green
8235-6,19,#5AE619,#25DA5B,#71C837,target,brightest green,brightest green
8235-6,21,#D63A29,#D02F4F,#DE8921,target,dark orange  not the red  and not the lighter orange ,dark orange red lighter orange
8235-6,22,#9359A6,#C238C7,#05FAB5,target,purple  not pink or teal  good on the last one ,purple pink teal good last one
8235-6,23,#42BD4F,#03FCBE,#26D988,target,darkest green,darkest green
8235-6,24,#C13CC3,#A45BA4,#9753AC,target,brightest pink,brightest pink
8235-6,25,#906F7B,#C23D44,#90726F,target,grey  not grey brown or red,grey grey brown red
8235-6,26,#8F946B,#58A765,#93A857,target,grey green,grey green
8235-6,27,#726699,#5445BA,#D401FE,target,grey purple,grey purple
8235-6,28,#7B9E61,#1FE0BD,#29E718,target,olive  not teal or bright green ,olive teal bright green
8235-6,29,#2E33D1,#4044BF,#F78708,target,bright blue  not one with hint of purple ,bright blue one hint purple
8235-6,30,#798486,#9AE31C,#986B67,target,grey,grey
8235-6,31,#6253AC,#743BC4,#DB2433,target,dull purple,dull purple
8235-6,32,#1BE4A8,#6BD629,#BFAC40,target,teal,teal
8235-6,33,#84BF40,#36C962,#1BE480,target,olive,olive
8235-6,34,#19E635,#5AF00F,#9D6A62,target,green  but not neon green,green neon green
8235-6,35,#57A87D,#17E8A2,#817E7E,target,grey teal  good on the last one ,grey teal good last one
8235-6,36,#C2BD3D,#87787A,#3082CF,target,orange,orange
8235-6,37,#6A957A,#B3574D,#EE118B,target,grey,grey
8235-6,38,#3EA0C1,#06C4F9,#1CB5E3,target,grey blue,grey blue
8235-6,39,#56F10E,#91776E,#9A0DF2,target,green,green
8235-6,40,#4EE31C,#B4F10E,#14EB75,target,darkest green,darkest green
8235-6,41,#D12E64,#7A7788,#939669,target,pink,pink
8235-6,42,#B3D12E,#2AD547,#6BA35C,target,yellow,yellow
8235-6,43,#5763A8,#4E86B1,#BB4450,target,purple,purple
8235-6,44,#05FA1A,#E2451D,#4147BE,target,green,green
8235-6,45,#B54C4A,#8E7175,#17E82C,target,red,red
8235-6,46,#9555AA,#36C99B,#A45B61,target,purple,purple
8235-6,47,#6F9078,#789867,#EE1114,target,darker grey  not the lighter green grey ,darker grey lighter green grey
8235-6,48,#718E86,#718E76,#B144BB,target,normal grey,normal grey
8235-6,49,#D65729,#196BE6,#9E24DB,target,orange,orange
2007-2,1,#6BE41B,#08F754,#4320DF,target,lime green,lime green
2007-2,2,#7C8283,#924DB3,#AB549E,target,gray,gray
2007-2,3,#8A8075,#3FE01F,#A35C62,target,gray,gray
2007-2,4,#7A8583,#4236C9,#18E75A,target,gray,gray
2007-2,5,#B1564E,#CD3244,#F906ED,target,the very dull red,dull red
2007-2,5,#B1564E,#CD3244,#F906ED,target,lighter,lighter
2007-2,6,#847A85,#A45B5F,#9E6661,target,gray,gray
2007-2,7,#A15E7A,#5068AF,#EE111C,target,the purplish one,purplish one
2007-2,8,#815DA2,#ED8312,#718E79,target,purple,purple
2007-2,9,#5620DF,#A425DA,#917D6E,target,blue,blue
2007-2,10,#CC33A3,#D12EC1,#966996,target,the slightly darker pink,slightly darker pink
2007-2,11,#65729A,#90659A,#91A857,target,blue,blue
2007-2,12,#71C639,#3CC837,#8D9C63,target,lime green,lime green
2007-2,13,#199EE6,#70DD22,#629D84,target,brigher blue,brigher blue
2007-2,14,#457FBA,#3E50C1,#6E7D91,target,the medium blue,medium blue
2007-2,15,#6C7693,#74898B,#2DD29B,target,the dark bluish gray,dark bluish gray
2007-2,16,#B14E60,#513DC2,#4EB188,target,pink,pink
2007-2,17,#EDBA12,#DBED12,#BEBA41,target,the orangeish one,orangeish one
2007-2,18,#87AB54,#6CA45B,#3CC398,target,light green,light green
2007-2,19,#7958A7,#88C23D,#7C7E83,target,bright purple,bright purple
2007-2,20,#827D7F,#83827C,#83906F,distr2,the darker gray,darker gray
2007-2,21,#1DE290,#E41B97,#797986,target,turquoise,turquoise
2007-2,22,#23E718,#91706E,#CCBF33,target,green,green
2007-2,23,#629D76,#708F7D,#BDFA05,distr1,blue gray,blue gray
2007-2,24,#6252AD,#9D4EB1,#B336C9,target,blue,blue
2007-2,25,#D42BAC,#A501FE,#BA37C8,target,bright pink,bright pink
2007-2,26,#8A956A,#808080,#78916E,target,the less greenish gray,less greenish gray
2007-2,27,#0D52F2,#4556BA,#D412ED,target,bright blue,bright blue
2007-2,28,#7D7A85,#FE01B2,#06F9C0,target,gray,gray
2007-2,29,#7F738C,#797B86,#2BD4CB,distr1,the darker gray,darker gray
2007-2,30,#B1564E,#A25D98,#2DA1D2,target,red,red
2007-2,31,#42A8BD,#669996,#60839F,target,sky blue,sky blue
2007-2,32,#28D77A,#4D63B3,#E85617,target,green,green
2007-2,33,#39C6A7,#38C7BD,#1C29E3,target,light blue  but the slightly duller one,light blue slightly duller one
2007-2,34,#969966,#90B14E,#62C43B,target,the more brownish one,brownish one
2007-2,35,#36B6C9,#58B54A,#806699,target,blue,blue
2007-2,36,#718E72,#1CE39D,#D64929,target,gray,gray
2007-2,37,#7D7A85,#906F73,#71D926,target,the more bluish purple,bluish purple
2007-2,38,#679885,#758A7F,#73A45B,target,the bluish gray,bluish gray
2007-2,39,#37C851,#39D728,#0EF187,target,the one that's not bright green and not mint green,one bright green mint green
2007-2,40,#74778B,#576CA8,#61859E,target,the most reddish purple,reddish purple
2007-2,41,#BA455A,#986779,#1363EC,target,red,red
2007-2,42,#8B59A6,#946B83,#56D728,target,darker purple,darker purple
2007-2,43,#589BA7,#817F7E,#BB9144,target,blue,blue
2007-2,44,#6718E7,#0A45F5,#05FAEA,target,purple,purple
2007-2,45,#B34D97,#BB7844,#6E6F91,target,pink,pink
2007-2,46,#2169DE,#62609F,#808080,target,bright blue,bright blue
2007-2,47,#5775A8,#9732CD,#06D4F9,target,dark blue,dark blue
2007-2,48,#858877,#95906A,#80F20D,target,dark gray,dark gray
2007-2,49,#931DE2,#343CCB,#F50A7C,target,purple,purple
2007-2,50,#59A696,#858F70,#66996E,target,blue,blue
6719-f,1,#A6E916,#998566,#5F05FA,target,green,green
6719-f,2,#9A7B65,#4912ED,#F0400F,target,brown,brown
6719-f,3,#8C9867,#53AC66,#789A65,distr2,olive green  darkest,olive green darkest
6719-f,4,#3C5EC3,#B88747,#25DA83,target,blue,blue
6719-f,5,#869867,#8CAD52,#3BC489,target,darkest shade  army colored,darkest shade army colored
6719-f,6,#0EF1BC,#41BE73,#AD9852,target,brightest teal,brightest teal
6719-f,7,#BF40B7,#B04F9B,#2D1CE3,target,brightest purple,brightest purple
6719-f,8,#B69D49,#9F8060,#C52FD0,target,gold,gold
6719-f,9,#09F6CB,#B9469A,#C0EB14,target,teal blue,teal blue
6719-f,10,#50AF97,#22DD80,#7D7C83,target,middle brightness,middle brightness
6719-f,11,#729669,#A5BB44,#CC33A8,target,dark green,dark green
6719-f,12,#9837C8,#9C05FA,#BC3EC1,distr2,purple on the right,purple right
6719-f,13,#6C2BD4,#A358A7,#13C1EC,distr1,darkest color,darkest color
6719-f,14,#BE6F41,#C67839,#3485CB,target,darker orange,darker orange
6719-f,15,#7EA25D,#69B04F,#BB5A44,target,dark green,dark green
6719-f,16,#54AB6B,#7BAC53,#5BCF30,target,middle green,middle green
6719-f,17,#7A857F,#B18B4E,#2BF20D,target,darkest color,darkest color
6719-f,18,#0B9EF4,#9A30CF,#EB1418,target,blue,blue
6719-f,19,#F99C06,#7C8383,#AE2DD2,target,orange,orange
6719-f,20,#2891D7,#E79B18,#7D8082,target,blue,blue
6719-f,21,#4D37C8,#C21CE3,#9E2DD2,target,blue,blue
6719-f,22,#7B3BC4,#BB6444,#D7ED12,target,purple,purple
6719-f,23,#A522DD,#675CA3,#817D82,target,bright purple,bright purple
6719-f,24,#966978,#7E9966,#667899,target,reddish,reddish
6719-f,25,#986790,#A65982,#A45B71,target,bluest purple,bluest purple
6719-f,26,#6C9193,#FE0162,#AD529E,target,green,green
6719-f,27,#6C8993,#758A77,#BF4066,target,bluest green,bluest green
6719-f,28,#5A0EF1,#2842D7,#442ED1,distr2,just pick a random one,just pick random one
6719-f,29,#8EBF40,#7E8679,#3357CC,target,bright green,bright green
6719-f,30,#748B76,#74906F,#979966,distr1,darker olive,darker olive
6719-f,31,#0BF4B6,#51D728,#72619E,target,bright teal,bright teal
6719-f,32,#BB38C7,#8B0EF1,#A6A159,target,magenta,magenta
6719-f,33,#58C13E,#03FC49,#24DB95,target,darkest green,darkest green
6719-f,34,#B5AC4A,#756F90,#62E21D,target,brown,brown
6719-f,35,#7A857C,#D4422B,#9C638E,target,grey,grey
6719-f,36,#3345CC,#A32ED1,#5C41BE,distr2,light blue,light blue
6719-f,37,#04FB80,#53AC68,#2DE718,distr2,neon green,neon green
6719-f,38,#89B649,#0AF551,#79E718,target,brown,brown
6719-f,39,#4830CF,#6C37C8,#C23D70,target,blue,blue
6719-f,40,#CC3361,#90BE41,#8F20DF,target,red,red
6719-f,41,#659A74,#6C938E,#3989C6,target,greenest,greenest
6719-f,42,#7155AA,#D12EB0,#F92306,distr1,dark puprle,dark puprle
6719-f,43,#5C57A8,#A132CD,#16D4E9,target,your dumb  this one is dark blue,dumb one dark blue
6719-f,44,#61B946,#94B04F,#40BF68,target,middle green,middle green
6719-f,45,#8B906F,#A7BB44,#528AAD,target,brown,brown
6719-f,46,#4D6DB3,#7E8181,#39C68B,target,blue,blue
6719-f,47,#DF20C9,#9C16E9,#BB2AD5,target,magenta,magenta
6719-f,48,#726C93,#808080,#5775A8,distr1,dark grey,dark grey
6719-f,49,#C99D36,#817E81,#3871C7,distr2,DARK YOU IDIOT  This one is orange,dark idiot one orange
6719-f,50,#5D36C9,#7359A6,#B422DD,distr1,dark purple,dark purple
7131-3,1,#59A673,#11EEE7,#9D6A62,target,green,green
7131-3,2,#D006F9,#FC03B6,#8D8F70,target,purple,purple
7131-3,3,#8BA659,#749867,#787D87,distr1,lime green,lime green
7131-3,4,#82748B,#62819D,#817E7E,target,purplish,purplish
7131-3,5,#4DB3A8,#2EA0D1,#47F00F,target,teal,teal
7131-3,6,#5F06F9,#FA4205,#6E8491,target,purple,purple
7131-3,7,#255EDA,#698696,#3D86C2,target,darker blue,darker blue
7131-3,8,#52AD7B,#5CA3A0,#AA5577,target,green,green
7131-3,9,#988367,#EC13D6,#68B14E,target,brown,brown
7131-3,10,#559EAA,#4409F6,#EBC014,target,tealish,tealish
7131-3,11,#7C857A,#66998C,#888C73,target,grey,grey
7131-3,12,#43C837,#51F40B,#89DD22,target,darker green,darker green
7131-3,13,#A1705E,#87946B,#0978F6,target,tan orange,tan orange
7131-3,14,#91E817,#D22DBC,#E4831B,target,green,green
7131-3,15,#8D9669,#E71898,#CC9C33,distr2,ugly tan,ugly tan
7131-3,16,#A9D22D,#F0CA0F,#1148EE,target,other one,one
7131-3,16,#A9D22D,#F0CA0F,#1148EE,target,green,green
7131-3,17,#AD5265,#BE414E,#C714EB,target,lesser purple,lesser purple
7131-3,18,#E61972,#7C7986,#AFB946,target,pink,pink
7131-3,19,#DD223B,#CC335E,#807E81,target,red,red
7131-3,20,#C9A736,#321BE4,#01FEDC,target,yellow,yellow
7131-3,21,#6E33CC,#80639C,#7A8A75,distr1,dark purple,dark purple
7131-3,22,#BE8841,#8E8371,#44BB6A,target,orange,orange
7131-3,23,#6555AA,#3253CD,#66639C,target,darker purple,darker purple
7131-3,24,#7C8283,#9F8360,#877978,target,bluish grey,bluish grey
7131-3,25,#7942BD,#8C6996,#A534CB,distr1,dark purple,dark purple
7131-3,26,#7D718E,#798086,#DF2030,distr1,grey,grey
7131-3,27,#B325DA,#4224DB,#63A35C,target,purple,purple
7131-3,28,#669974,#8A8875,#14EBC7,target,green,green
7131-3,29,#827F7D,#987F67,#966970,target,grey,grey
7131-3,30,#82BD42,#34CB7A,#04FB0C,distr1,medium green,medium green
7131-3,31,#5EA1A1,#47B898,#D52A52,target,blue grey,blue grey
7131-3,32,#7B718E,#13EC25,#B64959,target,purple grey,purple grey
7131-3,33,#5CA372,#8E9C63,#65A758,target,darkest green,darkest green
7131-3,34,#50AF9D,#609F9F,#78877A,target,teal,teal
7131-3,35,#C25C3D,#C6A339,#7BC936,distr1,orange,orange
7131-3,36,#DB5B24,#6F7690,#DC18E7,target,orange,orange
7131-3,37,#867982,#9920DF,#B9BF40,target,grey,grey
7131-3,38,#DE2199,#A745BA,#2FD035,target,pink,pink
7131-3,39,#52C43B,#82CC33,#30DF20,distr1,meduim green,meduim green
7131-3,40,#5CA36B,#A3985C,#6CB44B,distr2,teal,teal
7131-3,41,#B6AB49,#AFB946,#FA3605,distr1,brownish yellow,brownish yellow
7131-3,42,#659A9A,#729867,#9D50AF,target,blue,blue
7131-3,43,#0A9BF5,#4093BF,#4997B6,target,bright blue,bright blue
7131-3,44,#9C6387,#8A7675,#7C6699,target,pink puirple,pink puirple
7131-3,45,#4466BB,#4483BB,#1192EE,target,darkest blue,darkest blue
7131-3,46,#0663F9,#5D64A2,#5729D6,target,blue,blue
7131-3,47,#20DF23,#BD5B42,#936C83,target,green,green
7131-3,48,#204CDF,#5D67A2,#3C9DC3,target,darkest blue,darkest blue
7131-3,49,#715DA2,#C65339,#8F8A70,target,purple ,purple
7131-3,50,#290FF0,#62849D,#5CA394,target,blue,blue
7131-3,50,#290FF0,#62849D,#5CA394,target,you rock,rock
3843-c,1,#808080,#73798C,#01D4FE,target,Gray Box,gray box
3843-c,2,#637F9C,#48E21D,#2FB8D0,target,Gray Box,gray box
3843-c,3,#787A87,#6F7690,#CBB234,target,Gray Box,gray box
3843-c,4,#030BFC,#3B54C4,#25B0DA,distr1,Navy Blue,navy blue
3843-c,5,#4A4CB5,#65709A,#03FCB1,target,Blue,blue
3843-c,6,#7C9966,#284ED7,#A35C85,target,Greenish,greenish
3843-c,7,#B89A47,#8F8670,#A4825B,target,Brightest Color,brightest color
3843-c,8,#296ED6,#2046DF,#726996,target,Lighter Blue,lighter blue
3843-c,9,#77D52A,#DDA522,#9F608B,target,Green,green
3843-c,10,#7A8679,#839C63,#7D8C73,target,Most Gray,gray
3843-c,11,#55AA70,#13EC58,#0808F7,target,Darker Green,darker green
3843-c,12,#2FD03A,#37C88E,#898E71,target,Brighter Green,brighter green
3843-c,13,#B3E619,#0CFB04,#5DBD42,target,Some of these are actually hard to describe hehe ,actually hard describe hehe
3843-c,13,#B3E619,#0CFB04,#5DBD42,target,Yellow,yellow
3843-c,14,#86708F,#867C79,#7F817E,target,Purple,purple
3843-c,15,#996692,#A35C78,#837C81,target,Purple,purple
3843-c,16,#5854AB,#AB4BB4,#9C04FB,target,Darker Blue,darker blue
3843-c,17,#7C9966,#6C936D,#5CA391,target,Brighter Grayish Green,brighter grayish green
3843-c,18,#D12E9D,#80DD22,#F6D609,target,Pink,pink
3843-c,19,#D02F3F,#DD2222,#C64A39,target,Second Brightest ,second brightest
3843-c,20,#E71F18,#808080,#684DB3,target,Red,red
3843-c,21,#708F89,#34CBA3,#1141EE,target,Grayish,grayish
3843-c,22,#D72888,#A15E89,#A246B9,target,Pink,pink
3843-c,23,#73A659,#772AD5,#DD5D22,target,Green,green
3843-c,23,#73A659,#772AD5,#DD5D22,target,Yeah really enjoying it so far,yeah really enjoying far
3843-c,24,#B95F46,#C33C4C,#5D7DA2,target,Orange,orange
3843-c,25,#956A94,#CC33A8,#C41DE2,distr2,Darker Purple,darker purple
3843-c,26,#DA6125,#F00FA5,#C1C837,target,Orange,orange
3843-c,27,#C84537,#FC0341,#E4251B,target,Darker Brown,darker brown
3843-c,28,#708D8F,#609F9C,#CBB734,target,Yeah I can see   No worries though   ,yeah can see worries though
3843-c,28,#708D8F,#609F9C,#CBB734,target,Darker Grayish Blue,darker grayish blue
3843-c,29,#A954AB,#C23DB0,#D42B77,distr1,Darker Purple,darker purple
3843-c,30,#67A25D,#68D629,#66B649,target,Green'ish Gray,green'ish gray
3843-c,31,#7A46B9,#8A8475,#4EB179,target,Blue,blue
3843-c,31,#7A46B9,#8A8475,#4EB179,target,No idea hehe,idea hehe
3843-c,31,#7A46B9,#8A8475,#4EB179,target,Purple ish maybe,purple ish maybe
3843-c,32,#754AB5,#7E6E91,#D3E01F,target,Brightest Purple,brightest purple
3843-c,33,#344DCB,#DA25AA,#1FE038,target,No kidding,kidding
3843-c,33,#344DCB,#DA25AA,#1FE038,target,Blue,blue
3843-c,34,#7C8382,#85847A,#0AF906,target,Gray,gray
3843-c,35,#B0774F,#F14E0E,#E66819,target,brown,brown
3843-c,36,#22DD2F,#80837C,#4A14EB,target,Green,green
3843-c,37,#8A6E91,#8B7484,#FA7B05,distr1,Grayish Purple,grayish purple
3843-c,37,#8A6E91,#8B7484,#FA7B05,distr1,Doh,doh
3843-c,38,#4EB151,#A4A15B,#756798,target,Green,green
3843-c,39,#24DB73,#6ABA45,#C93667,target,lighter green,lighter green
3843-c,40,#9E8761,#D5B62A,#4D58B3,target,Brown,brown
3843-c,41,#05FA36,#6A9587,#FEB601,target,Green,green
3843-c,41,#05FA36,#6A9587,#FEB601,target,This is harder than I expected lol,harder expected lol
3843-c,42,#418ABE,#86AD52,#BA9145,target,Blue,blue
3843-c,43,#84C639,#BDCC33,#BA4589,target,Green,green
3843-c,44,#B7DD22,#A5C23D,#A15E8E,target,Yellow,yellow
3843-c,45,#699679,#9EAB54,#2229DD,target,Greenish gray,greenish gray
3843-c,46,#257CDA,#13ECE5,#D02F3A,target,Regular Blue,regular blue
3843-c,46,#257CDA,#13ECE5,#D02F3A,target,Hopefully we get something,hopefully get something
3843-c,47,#9D6293,#C936BD,#DA2580,target,Purple Gray,purple gray
3843-c,48,#BBA744,#6E19E6,#29D6C8,distr1,Not Green or Blue,green blue
3843-c,49,#3401FE,#8233CC,#4E41BE,target,Regular Blue,regular blue
3843-c,49,#3401FE,#8233CC,#4E41BE,target,No worries,worries
3843-c,50,#088BF7,#63CD32,#AA8955,target,Blue,blue
7555-2,1,#679878,#8754AB,#18A2E7,target,green,green
7555-2,2,#A87957,#CB8534,#B36D4D,target,brown,brown
7555-2,3,#624EB1,#285FD7,#DF9920,target,purple,purple
7555-2,4,#3BABC4,#BD4271,#97F40B,target,blue,blue
7555-2,5,#86BF40,#B4C43B,#987067,target,green,green
7555-2,6,#3D67C2,#6A45BA,#5255AD,distr2,normal blue,normal blue
7555-2,7,#716699,#60849F,#6D50AF,target,grayish purple,grayish purple
7555-2,8,#24DB8C,#20DF30,#F20DAA,target,bluish green,bluish green
7555-2,9,#BEB641,#AFC33C,#01FEB6,distr2,tan,tan
7555-2,10,#4F7BB0,#9C636B,#1CE32D,target,blue,blue
7555-2,11,#9C47B8,#8716E9,#6044BB,distr1,purple,purple
7555-2,12,#639C99,#AD3CC3,#05FAB5,target,gray,gray
7555-2,13,#11EE7C,#C1493E,#659A96,target,green,green
7555-2,14,#5CA398,#46B3B9,#ACD926,target,gray,gray
7555-2,15,#C730CF,#C2F50A,#D1362E,target,purple,purple
7555-2,16,#3C67C3,#639C93,#C23D6E,target,blue,blue
7555-2,17,#5866A7,#9953AC,#2DD2A6,target,blue,blue
7555-2,18,#D80BF4,#9ECB34,#817E7E,target,purple,purple
7555-2,19,#8441BE,#2931D6,#5D6EA2,target,purple,purple
7555-2,20,#57A86F,#42BDB7,#26D9C4,distr1,forest green,forest green
7555-2,21,#7A7986,#699296,#C1E21D,target,purple,purple
7555-2,22,#A2775D,#2638D9,#5AC23D,target,brown,brown
7555-2,23,#C50BF4,#B336C9,#672FD0,target,lighter purple,lighter purple
7555-2,24,#7A609F,#D12EB3,#E71834,target,blue,blue
7555-2,25,#738C75,#808080,#34CBB4,distr1,darker green,darker green
7555-2,26,#B13CC3,#EE11EB,#75838A,distr1,purple,purple
7555-2,27,#867C79,#7E7986,#7ABB44,target,copper,copper
7555-2,28,#6C5DA2,#9555AA,#6E916E,target,blue,blue
7555-2,29,#06F99C,#E619AC,#C43B44,target,green,green
7555-2,30,#7E7E81,#60949F,#75CC33,distr1,gray,gray
7555-2,31,#FB1404,#E7181F,#57E41B,distr1,brighter red,brighter red
7555-2,32,#72D22D,#71BF40,#D2D52A,target,brighter green,brighter green
7555-2,33,#E31CB5,#90BF40,#69968D,target,pink,pink
7555-2,34,#846E91,#967369,#C611EE,target,gray,gray
7555-2,35,#324ECD,#E21DC7,#60B44B,target,blue,blue
7555-2,36,#ADC33C,#C4E718,#B132CD,target,darker green,darker green
7555-2,37,#425BBD,#5B13EC,#1B46E4,distr2,darker blue,darker blue
7555-2,38,#16E978,#3DDE21,#74F50A,target,pastel green,pastel green
7555-2,39,#808080,#6BD926,#D02F42,target,gray,gray
7555-2,40,#639C8B,#80BF40,#888077,target,greenish gray,greenish gray
7555-2,41,#67B44B,#A8AC53,#A2D52A,distr1,darker green,darker green
7555-2,42,#36C95D,#9EDA25,#18E71C,target,grayish green,grayish green
7555-2,43,#42BD8A,#639C86,#72906F,target,green,green
7555-2,44,#09F670,#CBF609,#3CF00F,target,more normal green,normal green
7555-2,45,#5B6EA4,#787C87,#39C64C,target,blue,blue
7555-2,46,#AF5066,#24DB9E,#596BA6,target,red,red
7555-2,47,#52ADA4,#817E7F,#CB4134,distr1,green,green
7555-2,48,#609F73,#9AAC53,#7DAB54,target,forest green,forest green
7555-2,49,#997A66,#9F6A60,#7D7986,target,copper,copper
7555-2,50,#857D7A,#75828A,#463DC2,target,reddish gray,reddish gray
3540-a,1,#59A669,#ABA954,#5CBB44,target,hello,hello
3540-a,1,#59A669,#ABA954,#5CBB44,target,dark green,dark green
3540-a,2,#09D3F6,#D63129,#C63987,target,light blue,light blue
3540-a,3,#BF7940,#C1543E,#56BA45,target,orange,orange
3540-a,4,#95926A,#6DB34D,#809669,target,brown ,brown
3540-a,5,#7C857A,#B428D7,#14EBD5,target,gray,gray
3540-a,6,#808080,#65889A,#36C9A0,target,gray,gray
3540-a,7,#639C81,#2BD47A,#618B9E,target,olive green,olive green
3540-a,8,#8158A7,#8C738A,#B56F4A,target,purple,purple
3540-a,9,#61779E,#8A6798,#0DF270,target,blue,blue
3540-a,10,#53AC81,#4FBD42,#22DD3E,target,olive green,olive green
3540-a,11,#52AD9D,#889C63,#82906F,target,blue,blue
