gameid,time,roundNum,trialType,condition,nameClickedObj,targetStatusClickedObj,spLocsClickedObj,lisLocsClickedObj,basiclevelClickedObj,superdomainClickedObj,alt1Name,alt1TargetStatus,alt1SpLocs,alt1LisLocs,alt1Basiclevel,alt1superdomain,alt2Name,alt2TargetStatus,alt2SpLocs,alt2LisLocs,alt2Basiclevel,alt2superdomain,speakerMessages,listenerMessages,messageTimeStamps,refExp,clickedType,sub,basic,super,moreThanOneLevelMentioned,automaticallyLabelledTrial,manualAdditionTrial,additionalAttrMentioned,onlyAttrMentioned,oneMentioned,theMentioned,fullSentence,noLevelMentioned,,,,,,,,,,,
2298-c,1455301048605,27,subSuperTrial,basic23,jellyBeans,target,2,3,candy,snack,chips,distractor,4,2,NA,snack,socks,distractor,3,4,NA,clothing,Candy,,1455301047623,Candy,jellyBeans,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301053128,28,subSuperTrial,basic33,tulip,target,4,2,flower,plant,horse,distractor,2,3,NA,animal,socks,distractor,3,4,NA,clothing,Flower,,1455301052093,Flower,tulip,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301060613,29,subSuperTrial,basic22,convertible,target,4,3,car,vehicle,motorcycle,distractor,2,2,NA,vehicle,firetruck,distractor,3,4,NA,vehicle,Convertible,,1455301059371,Convertible,convertible,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301066696,30,subSuperTrial,basic12,diningTable,target,2,2,table,furniture,sideTable,distractor,4,4,table,furniture,wardrobe,distractor,3,3,NA,furniture,Long table,,1455301065357,Long table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301070657,31,subSuperTrial,basic12,blackBear,target,3,3,bear,animal,lion,distractor,2,2,NA,animal,koalaBear,distractor,4,4,bear,animal,Bear,,1455301069742,Bear,blackBear,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301092177,36,subSuperTrial,basic23,poloShirt,target,4,2,shirt,clothing,rhino,distractor,3,4,NA,animal,bathrobe,distractor,2,3,NA,clothing,Blue shirt,,1455301091155,Blue shirt,poloShirt,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301105711,39,subSuperTrial,basic23,mnMs,target,2,2,candy,snack,popcorn,distractor,4,4,NA,snack,gloves,distractor,3,3,NA,clothing,Candy,,1455301104708,Candy,mnMs,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301109975,40,subSuperTrial,basic23,rose,target,4,4,flower,plant,elephant,distractor,3,3,NA,animal,pottedPlant,distractor,2,2,NA,plant,Rose,,1455301108565,Rose,rose,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301113971,41,subSuperTrial,basic33,tShirt,target,4,3,shirt,clothing,pig,distractor,2,2,NA,animal,pottedPlant,distractor,3,4,NA,plant,Blue,,1455301112691,Blue,tShirt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
2298-c,1455301118010,42,subSuperTrial,basic33,hawaiiShirt,target,3,3,shirt,clothing,grasses,distractor,4,4,NA,plant,lion,distractor,2,2,NA,animal,Shirt,,1455301116967,Shirt,hawaiiShirt,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301122822,43,subSuperTrial,basic22,pigeon,target,2,4,bird,animal,lion,distractor,4,2,NA,animal,rhino,distractor,3,3,NA,animal,Bird,,1455301121291,Bird,pigeon,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301126743,44,subSuperTrial,basic23,coffeeTable,target,2,4,table,furniture,grasses,distractor,4,2,NA,plant,bookcase,distractor,3,3,NA,furniture,Table,,1455301125803,Table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301142916,47,subSuperTrial,basic22,polarBear,target,4,4,bear,animal,crocodile,distractor,3,2,NA,animal,hamster,distractor,2,3,NA,animal,Bear,,1455301141603,Bear,polarBear,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301159028,51,subSuperTrial,basic22,pug,target,2,3,dog,animal,iguana,distractor,4,4,NA,animal,horse,distractor,3,2,NA,animal,Pug,,1455301157565,Pug,pug,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301162966,52,subSuperTrial,basic22,germanShepherd,target,3,2,dog,animal,iguana,distractor,2,3,NA,animal,squirrel,distractor,4,4,NA,animal,Dog,,1455301162002,Dog,germanShepherd,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301166844,53,subSuperTrial,basic33,daisy,target,3,3,flower,plant,cow,distractor,2,4,NA,animal,gloves,distractor,4,2,NA,clothing,Flower,,1455301165902,Flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301176633,54,subSuperTrial,basic12,swordFish,target,4,4,fish,animal,squirrel,distractor,3,3,NA,animal,discusFish,distractor,2,2,fish,animal,Pointy fish,,1455301175312,Pointy fish,swordFish,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301181222,55,subSuperTrial,basic12,pandaBear,target,4,2,bear,animal,bison,distractor,2,4,NA,animal,koalaBear,distractor,3,3,bear,animal,Panda,,1455301180090,Panda,pandaBear,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301186261,56,subSuperTrial,basic33,dalmatian,target,2,4,dog,animal,bookcase,distractor,3,2,NA,furniture,cookies,distractor,4,3,NA,snack,Dalmation,,1455301185059,Dalmation,dalmatian,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301191234,57,subSuperTrial,basic22,catfish,target,2,3,fish,animal,iguana,distractor,4,4,NA,animal,horse,distractor,3,2,NA,animal,Fish,,1455301190315,Fish,catfish,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301197151,58,subSuperTrial,basic12,discusFish,distractor,4,3,fish,animal,clownFish,target,2,2,fish,animal,crocodile,distractor,3,4,NA,animal,Clownfish,,1455301196267,Clownfish,discusFish,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,NA,NA
2298-c,1455301219988,63,subSuperTrial,basic33,bedsideTable,target,4,2,table,furniture,motorcycle,distractor,3,3,NA,vehicle,cow,distractor,2,4,NA,animal,Furniture,,1455301219004,Furniture,bedsideTable,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301245047,68,subSuperTrial,basic23,sportsCar,target,3,4,car,vehicle,ambulance,distractor,4,3,NA,vehicle,sheep,distractor,2,2,NA,animal,Small car,,1455301243654,Small car,sportsCar,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301254920,70,subSuperTrial,basic23,hummingBird,target,3,2,bird,animal,rhino,distractor,2,4,NA,animal,gloves,distractor,4,3,NA,clothing,Bird,,1455301252871,Bird,hummingBird,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2298-c,1455301266969,72,subSuperTrial,basic12,skittles,target,2,2,candy,snack,candyCorn,distractor,4,3,candy,snack,popcorn,distractor,3,4,NA,snack,Skittles,,1455301265668,Skittles,skittles,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455300957947,2,subSuperTrial,basic23,swordFish,target,3,3,fish,animal,lobster,distractor,4,2,NA,animal,train,distractor,2,4,NA,vehicle,fish,,1455300956355,fish,swordFish,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455300980644,3,subSuperTrial,basic23,suv,target,3,2,car,vehicle,pretzels,distractor,2,3,NA,snack,motorcycle,distractor,4,4,NA,vehicle,white,,1455300978379,white,suv,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
2662-0,1455301058081,10,subSuperTrial,basic33,sunflower,target,2,2,flower,plant,wardrobe,distractor,3,3,NA,furniture,rabbit,distractor,4,4,NA,animal,flower,,1455301056715,flower,sunflower,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301073182,12,subSuperTrial,basic22,pigeon,target,2,4,bird,animal,rhino,distractor,3,2,NA,animal,snake,distractor,4,3,NA,animal,bird,,1455301071775,bird,pigeon,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301083144,13,subSuperTrial,basic12,hummingBird,target,2,2,bird,animal,sparrow,distractor,4,4,bird,animal,squirrel,distractor,3,3,NA,animal,flying,,1455301080755,flying,hummingBird,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
2662-0,1455301098434,15,subSuperTrial,basic12,rose,target,4,2,flower,plant,lily,distractor,2,3,flower,plant,rosemary,distractor,3,4,NA,plant,red,,1455301096821,red,rose,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
2662-0,1455301130189,18,subSuperTrial,basic22,husky,target,4,2,dog,animal,rabbit,distractor,2,4,NA,animal,sheep,distractor,3,3,NA,animal,canine,,1455301128579,canine,husky,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301151048,20,subSuperTrial,basic12,picnicTable,target,3,3,table,furniture,sideTable,distractor,2,2,table,furniture,bookcase,distractor,4,4,NA,furniture,picnic,,1455301149748,picnic,picnicTable,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301165116,22,subSuperTrial,basic12,tulip,target,2,3,flower,plant,grasses,distractor,3,2,NA,plant,lily,distractor,4,4,flower,plant,red,,1455301162667,red,tulip,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
2662-0,1455301173325,23,subSuperTrial,basic33,parrot,target,4,2,bird,animal,ambulance,distractor,2,3,NA,vehicle,rosemary,distractor,3,4,NA,plant,bird,,1455301172013,bird,parrot,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301204178,26,subSuperTrial,basic33,bedsideTable,target,2,2,table,furniture,cookies,distractor,3,4,NA,snack,pig,distractor,4,3,NA,animal,furniture,,1455301202989,furniture,bedsideTable,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301239635,27,subSuperTrial,basic12,clownFish,target,4,2,fish,animal,discusFish,distractor,2,3,fish,animal,rabbit,distractor,3,4,NA,animal,stripes,,1455301233919,stripes,clownFish,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
2662-0,1455301267196,30,subSuperTrial,basic22,catfish,target,2,3,fish,animal,lobster,distractor,3,2,NA,animal,kitten,distractor,4,4,NA,animal,fish,,1455301265693,fish,catfish,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301278909,31,subSuperTrial,basic12,convertible,target,3,3,car,vehicle,firetruck,distractor,2,4,NA,vehicle,sedan,distractor,4,2,car,vehicle,silvery,,1455301276749,silvery,convertible,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
2662-0,1455301288345,32,subSuperTrial,basic23,mnMs,target,4,2,candy,snack,ambulance,distractor,2,4,NA,vehicle,popcorn,distractor,3,3,NA,snack,candy,,1455301285854,candy,mnMs,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301306055,33,subSuperTrial,basic12,diningTable,target,4,2,table,furniture,bookcase,distractor,3,4,NA,furniture,sideTable,distractor,2,3,table,furniture,long table,,1455301300758,long table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301314465,34,subSuperTrial,basic23,daisy,target,3,3,flower,plant,crocodile,distractor,2,2,NA,animal,ivy,distractor,4,4,NA,plant,flower,,1455301313238,flower,daisy,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301371145,40,subSuperTrial,basic12,polarBear,target,2,4,bear,animal,koalaBear,distractor,4,3,bear,animal,pig,distractor,3,2,NA,animal,polar,,1455301369702,polar,polarBear,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301386202,42,subSuperTrial,basic33,coffeeTable,target,4,4,table,furniture,popcorn,distractor,3,2,NA,snack,sheep,distractor,2,3,NA,animal,table,,1455301384783,table,coffeeTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301393352,43,subSuperTrial,basic33,tShirt,target,2,3,shirt,clothing,pottedPlant,distractor,4,4,NA,plant,sheep,distractor,3,2,NA,animal,shirt,,1455301392239,shirt,tShirt,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301427495,47,subSuperTrial,basic33,pandaBear,target,3,2,bear,animal,bookcase,distractor,2,4,NA,furniture,bathrobe,distractor,4,3,NA,clothing,bear,,1455301426127,bear,pandaBear,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301438291,48,subSuperTrial,basic33,minivan,target,4,4,car,vehicle,wardrobe,distractor,3,2,NA,furniture,grasses,distractor,2,3,NA,plant,vehicle,,1455301436383,vehicle,minivan,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301473050,52,subSuperTrial,basic12,dressShirt,target,2,4,shirt,clothing,gloves,distractor,3,3,NA,clothing,campShirt,distractor,4,2,shirt,clothing,light blue,,1455301471271,light blue,dressShirt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,
2662-0,1455301481676,53,subSuperTrial,basic22,goldFish,target,4,2,fish,animal,hamster,distractor,3,4,NA,animal,snake,distractor,2,3,NA,animal,fish,,1455301480446,fish,goldFish,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301498492,55,subSuperTrial,basic22,sportsCar,target,4,2,car,vehicle,firetruck,distractor,3,4,NA,vehicle,ambulance,distractor,2,3,NA,vehicle,car,,1455301497329,car,sportsCar,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301507896,56,subSuperTrial,basic23,eagle,target,4,4,bird,animal,pottedPlant,distractor,3,3,NA,plant,iguana,distractor,2,2,NA,animal,bird,,1455301505560,bird,eagle,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301515933,57,subSuperTrial,basic23,hawaiiShirt,target,2,4,shirt,clothing,gloves,distractor,4,2,NA,clothing,bookcase,distractor,3,3,NA,furniture,shirt,,1455301514428,shirt,hawaiiShirt,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301525908,58,subSuperTrial,basic22,gummyBears,target,4,4,candy,snack,cookies,distractor,3,3,NA,snack,popcorn,distractor,2,2,NA,snack,gummy,,1455301524102,gummy,gummyBears,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301542879,60,subSuperTrial,basic22,blackBear,target,3,4,bear,animal,iguana,distractor,4,3,NA,animal,rhino,distractor,2,2,NA,animal,bear,,1455301540039,bear,blackBear,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301551925,61,subSuperTrial,basic33,poloShirt,target,3,4,shirt,clothing,wardrobe,distractor,2,2,NA,furniture,crocodile,distractor,4,3,NA,animal,shirt,,1455301550248,shirt,poloShirt,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301567270,63,subSuperTrial,basic23,dalmatian,target,2,2,dog,animal,train,distractor,3,3,NA,vehicle,sheep,distractor,4,4,NA,animal,dog,,1455301565777,dog,dalmatian,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301575085,64,subSuperTrial,basic23,grizzlyBear,target,4,4,bear,animal,train,distractor,3,3,NA,vehicle,hamster,distractor,2,2,NA,animal,bear,,1455301573146,bear,grizzlyBear,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301590918,66,subSuperTrial,basic22,pug,target,3,3,dog,animal,horse,distractor,4,2,NA,animal,lion,distractor,2,4,NA,animal,dog,,1455301589528,dog,pug,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301616272,69,subSuperTrial,basic23,skittles,target,3,2,candy,snack,chips,distractor,4,3,NA,snack,socks,distractor,2,4,NA,clothing,candy,,1455301615264,candy,skittles,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301632970,71,subSuperTrial,basic33,germanShepherd,target,3,4,dog,animal,train,distractor,4,3,NA,vehicle,pottedPlant,distractor,2,2,NA,plant,dog,,1455301631681,dog,germanShepherd,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
2662-0,1455301643618,72,subSuperTrial,basic22,jellyBeans,target,2,2,candy,snack,chips,distractor,3,3,NA,snack,pretzels,distractor,4,4,NA,snack,candy,,1455301642320,candy,jellyBeans,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
4633-0,1455300949612,2,subSuperTrial,basic22,diningTable,target,2,4,table,furniture,bookcase,distractor,4,3,NA,furniture,lamp,distractor,3,2,NA,furniture,table,,1455300947600,table,diningTable,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
4633-0,1455300971259,4,subSuperTrial,basic22,pug,target,3,2,dog,animal,elephant,distractor,2,3,NA,animal,pig,distractor,4,4,NA,animal,pug,,1455300969929,pug,pug,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
4633-0,1455301000271,7,subSuperTrial,basic22,goldFish,target,2,4,fish,animal,cow,distractor,4,3,NA,animal,rhino,distractor,3,2,NA,animal,fish,,1455300998337,fish,goldFish,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
4633-0,1455301007661,8,subSuperTrial,basic33,clownFish,target,3,2,fish,animal,gloves,distractor,2,4,NA,clothing,cookies,distractor,4,3,NA,snack,fish,,1455301005895,fish,clownFish,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
4633-0,1455301016739,9,subSuperTrial,basic23,jellyBeans,target,3,4,candy,snack,popcorn,distractor,2,3,NA,snack,bookcase,distractor,4,2,NA,furniture,jellybean,,1455301015110,jellybean,jellyBeans,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
4633-0,1455301114183,17,subSuperTrial,basic12,husky,target,4,3,dog,animal,rhino,distractor,3,2,NA,animal,greyhound,distractor,2,4,dog,animal,wolf looking dog,,1455301111906,wolf looking dog,husky,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
