expid	gameid	time	trialNum	object1Name	object1SketcherLoc	object1ViewerLoc	object2Name	object2SketcherLoc	object2ViewerLoc	object3Name	object3SketcherLoc	object3ViewerLoc	object4Name	object4SketcherLoc	object4ViewerLoc	intendedName	clickedName	correct	pose	condition	eventType
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133840218	16	robin	3	1	bluejay	4	2	cuckoo	1	3	pigeon	2	4	robin	robin	true	9	closer	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133850543	17	waiting	1	4	crow	2	1	bluesport	3	2	bullmastiff	4	3	waiting	waiting	true	1	further	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133904257	18	cuckoo	2	1	bluejay	4	2	robin	1	3	pigeon	3	4	cuckoo	cuckoo	true	18	closer	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133915092	19	woven	1	4	tomtit	2	3	redsport	4	1	pug	3	2	woven	woven	true	5	further	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133929065	20	goldenretriever	2	3	weimaraner	3	4	bloodhound	1	2	doberman	4	1	goldenretriever	goldenretriever	true	3	closer	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133952402	21	redantique	1	3	beetle	3	1	brown	4	4	hatchback	2	2	redantique	redantique	true	6	closer	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133963154	22	leather	2	3	sparrow	4	1	white	1	4	chihuahua	3	2	leather	leather	true	17	further	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502133978258	23	inlay	3	2	nightingale	2	3	bluesedan	4	4	basset	1	1	inlay	inlay	true	14	further	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502134030580	24	squat	1	3	knob	2	1	sling	3	2	straight	4	4	squat	squat	true	10	closer	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502134077203	25	pigeon	2	3	bluejay	3	1	robin	4	2	cuckoo	1	4	pigeon	pigeon	true	36	closer	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502134088404	26	pug	3	2	tomtit	4	1	redsport	2	4	woven	1	3	pug	pug	true	0	further	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502134098092	27	chihuahua	3	3	sparrow	1	4	white	4	2	leather	2	1	chihuahua	chihuahua	true	33	further	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502134137829	28	straight	1	3	knob	4	4	sling	3	1	squat	2	2	straight	straight	true	24	closer	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502134158605	29	hatchback	2	2	beetle	3	4	brown	4	1	redantique	1	3	hatchback	hatchback	true	32	closer	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502134188717	30	doberman	1	1	weimaraner	3	4	bloodhound	4	2	goldenretriever	2	3	doberman	doberman	true	4	closer	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502134199485	31	basset	1	3	nightingale	2	2	bluesedan	3	4	inlay	4	1	basset	basset	true	23	further	clickedObj
pilot1	7413-0e3f7251-4f28-49c2-8d48-5c4750d10cbb	1502134213117	32	bullmastiff	4	4	crow	1	2	bluesport	3	1	waiting	2	3	bullmastiff	bullmastiff	true	26	further	clickedObj
