gameid,roundNum,sender,tangramRef,pos,numWords,clauses,nouns,prepositions,verbs,determiners,pronouns,adjectives,adverbs,numbers,others,tags,acl
0955-2,1,director,H,"[u'NN', u'CD', u'VBZ', u'DT', u'JJR', u'NN', u'IN', u'DT', u'NN', u'IN', u'DT', u'NNS', u'WDT', u'VBZ', u'CD']",15,False,4,2,2,4,0,1,0,2,0,"[u'ROOT', u'nsubj', u'nummod', u'cop', u'det:qmod', u'compound', u'mwe', u'nsubj', u'mwe', u'det', u'case', u'neg', u'nmod:with', u'ref', u'cop', u'acl:relcl']",True
0955-2,1,director,F,"[u'NN', u'CD', u'VBZ', u'DT', u'NN', u'VBG', u'IN', u'PRP$', u'NNS', u'VBD', u'TO', u'DT', u'NN']",13,False,4,1,3,2,1,0,0,1,1,"[u'ROOT', u'nsubj', u'nummod', u'cop', u'det', u'acl', u'case', u'nmod:poss', u'nmod:with', u'acl', u'case', u'det', u'nmod:to']",True
0955-2,2,director,B,"[u'CD', u'VBZ', u'IN', u'DT', u'NN', u'IN', u'JJ', u'NNS', u'VBD', u'TO', u'DT', u'NN']",12,False,3,2,2,2,0,1,0,1,1,"[u'ROOT', u'nummod', u'nsubj', u'case', u'det', u'nmod:like', u'case', u'amod', u'nmod:with', u'case', u'det', u'nmod:to']",False
0955-2,2,director,L,"[u'CD', u'VBZ', u'DT', u'NN', u'VBG', u'VBG', u'IN', u'PRP$', u'NNS', u'TO', u'DT', u'NN']",12,True,3,1,3,2,1,0,0,1,1,"[u'ROOT', u'nsubj', u'cop', u'det', u'acl', u'advcl', u'case', u'nmod:poss', u'nmod:with', u'case', u'det', u'nmod:to']",True
0955-2,2,director,D,"[u'CD', u'VBZ', u'DT', u'NN', u'NN', u'CC', u'VBG', u'TO', u'DT', u'NN']",10,False,3,0,2,2,0,0,0,1,1,"[u'ROOT', u'nsubj', u'cop', u'det', u'acl', u'cc', u'acl', u'conj:and', u'case', u'det', u'nmod:to']",True
0955-2,2,director,F,"[u'CD', u'VBZ', u'DT', u'NN', u'VBG', u'IN', u'DT', u'NN', u'WDT', u'VBD', u'CD', u'JJ', u'NN']",13,False,3,1,3,3,0,1,0,2,0,"[u'ROOT', u'nsubj', u'cop', u'det', u'acl', u'case', u'det', u'nmod:on', u'nsubj', u'ref', u'cop', u'nummod', u'amod', u'acl:relcl']",True
0955-2,2,director,I,"[u'CD', u'VBZ', u'DT', u'NN', u'NN', u'IN', u'CD', u'NN', u'IN', u'PRP$', u'NN', u'IN', u'DT', u'NN']",14,False,5,3,1,2,1,0,0,2,0,"[u'ROOT', u'nsubj', u'cop', u'det', u'acl', u'case', u'nummod', u'nmod:on', u'case', u'nmod:poss', u'nmod:with', u'case', u'det', u'nmod:on']",True
0955-2,2,director,A,"[u'CD', u'VBZ', u'DT', u'NN', u'NN', u'IN', u'CD', u'NN', u'IN', u'PRP$', u'NN', u'IN', u'DT', u'NN']",14,False,5,3,1,2,1,0,0,2,0,"[u'ROOT', u'nsubj', u'cop', u'det', u'acl', u'case', u'nummod', u'nmod:on', u'case', u'nmod:poss', u'nmod:with', u'case', u'det', u'nmod:on']",True
0955-2,2,director,E,"[u'CD', u'VBZ', u'IN', u'DT', u'NN']",5,False,1,1,1,1,0,0,0,1,0,"[u'ROOT', u'nummod', u'case', u'det', u'nmod:like']",False
0955-2,2,director,G,"[u'CD', u'VBZ', u'DT', u'NN', u'VBG', u'RP', u'RB']",7,False,1,0,2,1,0,0,2,1,0,"[u'ROOT', u'nsubj', u'cop', u'det', u'acl', u'compound:prt', u'advmod']",True
0955-2,2,director,C,"[u'CD', u'VBZ', u'DT', u'NN', u'VBG', u'IN', u'PRP$', u'NNS', u'RP']",9,False,2,1,2,1,1,0,1,1,0,"[u'ROOT', u'nsubj', u'cop', u'det', u'acl', u'case', u'nmod:poss', u'nmod:with', u'advmod']",True
0955-2,2,director,K,"[u'CD', u'VBZ', u'DT', u'NN', u'VBG', u'IN', u'PRP$', u'NNS', u'TO', u'DT', u'JJ', u'NN', u'CC', u'JJR', u'NNS']",15,False,4,1,2,2,1,2,0,1,1,"[u'ROOT', u'nsubj', u'cop', u'det', u'acl', u'case', u'nmod:poss', u'nmod:with', u'case', u'det', u'amod', u'nmod:to', u'cc', u'amod', u'nmod:to', u'conj:and']",True
0955-2,2,director,H,"[u'CD', u'VBZ', u'DT', u'JJ', u'NN']",5,False,1,0,1,1,0,1,0,1,0,"[u'ROOT', u'nsubj', u'cop', u'det', u'amod']",False
0955-2,2,director,J,"[u'CD', u'VBZ', u'DT', u'JJR', u'NN']",5,False,1,0,1,1,0,1,0,1,0,"[u'ROOT', u'nsubj', u'cop', u'det', u'amod']",False
0955-2,3,director,E,"[u'LS', u'.', u'NN']",3,False,1,0,0,0,0,0,0,0,1,"[u'ROOT', u'punct', u'ROOT']",False
0955-2,3,director,F,"[u'LS', u'.', u'NN', u'VBG', u'VBG', u'TO', u'DT', u'NN']",8,True,2,0,2,1,0,0,0,0,2,"[u'ROOT', u'punct', u'ROOT', u'xcomp', u'advcl', u'case', u'det', u'nmod:to']",False
0955-2,3,director,K,"[u'LS', u'.', u'NN', u'VBG', u'IN', u'PRP$', u'NNS', u'TO', u'DT', u'JJ', u'NN']",11,False,3,1,1,1,1,1,0,0,2,"[u'ROOT', u'punct', u'ROOT', u'dep', u'case', u'nmod:poss', u'nmod:with', u'case', u'det', u'amod', u'nmod:to']",False
0955-2,3,director,D,"[u'LS', u'.', u'NN', u'NN', u'IN', u'PRP$', u'NNS', u'TO', u'DT', u'VB', u'NN']",11,False,4,1,1,1,1,0,0,0,2,"[u'ROOT', u'punct', u'ROOT', u'compound', u'case', u'nmod:poss', u'nmod:with', u'case', u'det', u'amod', u'nmod:to']",False
0955-2,3,director,I,"[u'CD', u'.', u'NN', u'IN', u'CD', u'NN', u'IN', u'PRP$', u'NN', u'TO', u'DT', u'JJ', u'NN']",13,False,4,2,0,1,1,1,0,2,1,"[u'ROOT', u'punct', u'ROOT', u'case', u'nummod', u'nmod:on', u'case', u'nmod:poss', u'nmod:with', u'case', u'det', u'amod', u'nmod:to']",False
0955-2,3,director,B,"[u'CD', u'.', u'NN', u'IN', u'JJ', u'NNS', u'VBG', u'JJ', u'TO', u'DT', u'NN']",11,False,3,1,1,1,0,2,0,1,1,"[u'ROOT', u'punct', u'ROOT', u'nsubj', u'case', u'amod', u'nmod:with', u'acl', u'case', u'det', u'nmod:to']",True
0955-2,3,director,G,"[u'CD', u'.', u'NN', u'IN', u'JJ', u'NNS', u'VBG', u'JJ', u'TO', u'DT', u'NN']",11,False,3,1,1,1,0,2,0,1,1,"[u'ROOT', u'punct', u'ROOT', u'nsubj', u'case', u'amod', u'nmod:with', u'acl', u'case', u'det', u'nmod:to']",True
0955-2,3,director,H,"[u'CD', u'.', u'JJ', u'NN']",4,False,1,0,0,0,0,1,0,1,0,"[u'ROOT', u'punct', u'ROOT', u'amod']",False
0955-2,3,director,C,"[u'CD', u'.', u'NN', u'VBG']",4,False,1,0,1,0,0,0,0,1,0,"[u'ROOT', u'punct', u'ROOT', u'dep']",False
0955-2,3,director,A,"[u'CD', u'.', u'NN', u'IN', u'CD', u'NN', u'NN', u'IN', u'NN']",9,False,4,2,0,0,0,0,0,2,0,"[u'ROOT', u'punct', u'ROOT', u'case', u'nummod', u'compound', u'nmod:on', u'case', u'nmod:on']",False
0955-2,3,director,J,"[u'CD', u'.', u'JJR', u'NN']",4,False,1,0,0,0,0,1,0,1,0,"[u'ROOT', u'punct', u'ROOT', u'amod']",False
0955-2,3,director,L,"[u'CD', u'.', u'NN', u'VBG', u'IN', u'PRP$', u'NNS', u'TO', u'DT', u'NN']",10,False,3,1,1,1,1,0,0,1,1,"[u'ROOT', u'punct', u'ROOT', u'dep', u'case', u'nmod:poss', u'nmod:with', u'case', u'det', u'nmod:to']",False
0955-2,4,director,D,"[u'CD', u'NN', u'NN', u'IN', u'NNS', u'TO', u'DT', u'JJ', u'NN']",9,False,4,1,0,1,0,1,0,1,1,"[u'ROOT', u'nummod', u'dep', u'case', u'nmod:with', u'case', u'det', u'amod', u'nmod:to']",False
0955-2,4,director,I,"[u'LS', u'.', u'NN', u'NN', u'IN', u'CD', u'NN', u'NN', u'IN', u'JJ', u'NN']",11,False,5,2,0,0,0,1,0,1,1,"[u'ROOT', u'punct', u'ROOT', u'compound', u'case', u'nummod', u'compound', u'nmod:on', u'case', u'amod', u'nmod:on']",False
0955-2,4,director,B,"[u'LS', u'.', u'NN', u'IN', u'JJ', u'NNS', u'VBG']",7,False,2,1,1,0,0,1,0,0,1,"[u'ROOT', u'punct', u'ROOT', u'case', u'amod', u'nmod:with', u'acl']",True
0955-2,4,director,J,"[u'LS', u'.', u'JJR', u'NN']",4,False,1,0,0,0,0,1,0,0,1,"[u'ROOT', u'punct', u'ROOT', u'amod']",False
0955-2,4,director,E,"[u'CD', u'.', u'NN']",3,False,1,0,0,0,0,0,0,1,0,"[u'ROOT', u'punct', u'ROOT']",False
0955-2,4,director,H,"[u'CD', u'.', u'JJR', u'NN']",4,False,1,0,0,0,0,1,0,1,0,"[u'ROOT', u'punct', u'ROOT', u'amod']",False
0955-2,4,director,L,"[u'CD', u'.', u'NN', u'VBG', u'VBG', u'IN', u'PRP$', u'NNS', u'IN', u'DT', u'NN']",11,True,3,2,2,1,1,0,0,1,0,"[u'ROOT', u'punct', u'ROOT', u'xcomp', u'advcl', u'case', u'nmod:poss', u'nmod:with', u'case', u'det', u'nmod:on']",False
0955-2,4,director,F,"[u'CD', u'.', u'DT', u'NN', u'VBG', u'IN', u'DT', u'NN', u'RB']",9,False,2,1,1,2,0,0,1,1,0,"[u'ROOT', u'punct', u'ROOT', u'det', u'acl', u'case', u'det', u'nmod:on', u'advmod']",True
0955-2,4,director,G,"[u'CD', u'.', u'DT', u'NN', u'VBG', u'IN', u'DT', u'NN']",8,False,2,1,1,2,0,0,0,1,0,"[u'ROOT', u'punct', u'ROOT', u'det', u'dep', u'case', u'det', u'nmod:on']",False
0955-2,4,director,C,"[u'CD', u'.', u'DT', u'NN', u'VBG']",5,False,1,0,1,1,0,0,0,1,0,"[u'ROOT', u'punct', u'ROOT', u'dep', u'discourse']",False
0955-2,4,director,A,"[u'CD', u'.', u'DT', u'NN', u'NN', u'IN', u'CD', u'NN', u'IN', u'PRP$', u'NN', u'TO', u'DT', u'NN']",14,False,5,2,0,2,1,0,0,2,1,"[u'ROOT', u'punct', u'ROOT', u'det', u'compound', u'case', u'nummod', u'nmod:on', u'case', u'nmod:poss', u'nmod:with', u'case', u'det', u'nmod:to']",False
0955-2,4,director,K,"[u'CD', u'.', u'DT', u'NN', u'VBG', u'IN', u'PRP$', u'NNS', u'IN', u'DT', u'JJ', u'NN', u',', u'PRP', u'VBZ', u'DT', u'NN', u'IN', u'PRP$', u'NN']",20,True,5,3,2,3,3,1,0,1,0,"[u'ROOT', u'punct', u'ROOT', u'det', u'ccomp', u'acl', u'case', u'nmod:poss', u'nmod:with', u'case', u'det', u'amod', u'nmod:on', u'punct', u'nsubj', u'det', u'dobj', u'case', u'nmod:poss', u'nmod:on']",True
0955-2,5,director,E,"[u'LS', u'.', u'NN']",3,False,1,0,0,0,0,0,0,0,1,"[u'ROOT', u'punct', u'ROOT']",False
0955-2,5,director,L,"[u'LS', u'.', u'NN', u'VBG', u'NNS', u'IN', u'JJ', u'NN']",8,False,3,1,1,0,0,1,0,0,1,"[u'ROOT', u'punct', u'ROOT', u'amod', u'dobj', u'case', u'amod', u'nmod:on']",False
0955-2,5,director,I,"[u'LS', u'.', u'NN', u'IN', u'CD', u'NN', u'NN', u'IN', u'JJ', u'NN']",10,False,4,2,0,0,0,1,0,1,1,"[u'ROOT', u'punct', u'ROOT', u'case', u'nummod', u'compound', u'nmod:on', u'case', u'amod', u'nmod:on']",False
0955-2,5,director,G,"[u'LS', u'.', u'NN', u'VBG', u'IN', u'NN', u'IN', u'JJ', u'NNS']",9,False,3,2,1,0,0,1,0,0,1,"[u'ROOT', u'punct', u'ROOT', u'dep', u'case', u'nmod:on', u'case', u'amod', u'nmod:with']",False
0955-2,5,director,B,"[u'CD', u'.', u'NN', u'VBG', u'IN', u'NN', u'IN', u'JJ', u'NNS']",9,False,3,2,1,0,0,1,0,1,0,"[u'ROOT', u'punct', u'ROOT', u'nsubj', u'acl', u'compound:prt', u'case', u'amod', u'nmod:with']",True
0955-2,5,director,F,"[u'CD', u'.', u'NN', u'VBG', u'IN', u'DT', u'NN']",7,False,2,1,1,1,0,0,0,1,0,"[u'ROOT', u'punct', u'ROOT', u'dep', u'case', u'det', u'nmod:on']",False
0955-2,5,director,J,"[u'CD', u'.', u'JJ', u'NN']",4,False,1,0,0,0,0,1,0,1,0,"[u'ROOT', u'punct', u'ROOT', u'amod']",False
0955-2,5,director,A,"[u'CD', u'.', u'NN', u'IN', u'CD', u'NN', u'IN', u'NN', u'VBD', u'NN', u'DT', u'NN']",12,True,5,2,1,1,0,0,0,2,0,"[u'ROOT', u'punct', u'ROOT', u'nsubj', u'case', u'nummod', u'nmod:on', u'case', u'nmod:with', u'xcomp', u'det', u'dobj']",False
0955-2,5,director,C,"[u'CD', u'.', u'NN', u'VBG']",4,False,1,0,1,0,0,0,0,1,0,"[u'ROOT', u'punct', u'ROOT', u'dep']",False
0955-2,5,director,H,"[u'CD', u'.', u'JJ', u'NN']",4,False,1,0,0,0,0,1,0,1,0,"[u'ROOT', u'punct', u'ROOT', u'amod']",False
0955-2,5,director,D,"[u'CD', u'.', u'NN', u'NN', u'IN', u'NNS', u'TO', u'DT', u'JJ', u'NN']",10,False,4,1,0,1,0,1,0,1,1,"[u'ROOT', u'punct', u'ROOT', u'dobj', u'case', u'nmod:with', u'case', u'det', u'amod', u'nmod:to']",False
0955-2,5,director,K,"[u'CD', u'.', u'NN', u'VBG', u'DT', u'VBZ', u'IN', u'PRP$', u'NNS']",9,True,2,1,2,1,1,0,0,1,0,"[u'ROOT', u'punct', u'ROOT', u'dep', u'mark', u'cop', u'case', u'nmod:poss', u'ccomp']",False
0955-2,6,director,L,"[u'LS', u'.', u'NN', u'VBG', u'VBG', u'IN', u'NNS', u'IN', u'NN']",9,True,3,2,2,0,0,0,0,0,1,"[u'ROOT', u'punct', u'ROOT', u'xcomp', u'advcl', u'case', u'nmod:with', u'case', u'nmod:on']",False
0955-2,6,director,E,"[u'LS', u'.', u'NN']",3,False,1,0,0,0,0,0,0,0,1,"[u'ROOT', u'punct', u'ROOT']",False
0955-2,6,director,H,"[u'LS', u'.', u'JJ', u'NN']",4,False,1,0,0,0,0,1,0,0,1,"[u'ROOT', u'punct', u'ROOT', u'amod']",False
0955-2,6,director,C,"[u'LS', u'.', u'NN', u'VBG']",4,False,1,0,1,0,0,0,0,0,1,"[u'ROOT', u'punct', u'ROOT', u'dep']",False
0955-2,6,director,J,"[u'CD', u'.', u'JJ', u'NN', u',', u'PRP', u'VBZ', u'DT', u'NN', u'NN']",10,False,3,0,1,1,1,1,0,1,0,"[u'ROOT', u'punct', u'ROOT', u'amod', u'nsubj', u'punct', u'nsubj', u'det', u'compound', u'dobj']",False
0955-2,6,director,D,"[u'CD', u'.', u'NN', u'NN', u'IN', u'NNS', u'VBD', u'TO', u'DT', u'NN']",10,False,4,1,1,1,0,0,0,1,1,"[u'ROOT', u'punct', u'ROOT', u'compound', u'nsubj', u'case', u'nmod:with', u'case', u'det', u'nmod:to']",False
0955-2,6,director,A,"[u'CD', u'.', u'NN', u'IN', u'CD', u'NN', u'NN', u'IN', u'DT', u'NN']",10,False,4,2,0,1,0,0,0,2,0,"[u'ROOT', u'punct', u'ROOT', u'case', u'nummod', u'compound', u'nmod:on', u'case', u'det', u'nmod:on']",False
0955-2,6,director,K,"[u'CD', u'.', u'NN', u'VBG', u'IN', u'PRP$', u'NNS', u'RP']",8,False,2,1,1,0,1,0,1,1,0,"[u'ROOT', u'punct', u'ROOT', u'compound', u'dep', u'case', u'nmod:poss', u'nmod:with']",False
0955-2,6,director,B,"[u'CD', u'.', u'NN', u'IN', u'JJ', u'NNS', u'VBG', u'RP']",8,False,2,1,1,0,0,1,1,1,0,"[u'ROOT', u'punct', u'ROOT', u'case', u'amod', u'nmod:with', u'acl', u'compound:prt']",True
0955-2,6,director,G,"[u'CD', u',', u'NN', u'NN', u'IN', u'JJ', u'NNS', u'VBG', u'RP']",9,False,3,1,1,0,0,1,1,1,0,"[u'ROOT', u'punct', u'compound', u'appos', u'case', u'amod', u'nmod:with', u'acl', u'compound:prt']",True
0955-2,6,director,I,"[u'CD', u'.', u'NN', u'IN', u'CD', u'NN', u'IN', u'NN', u'TO', u'DT', u'NN']",11,False,4,2,0,1,0,0,0,2,1,"[u'ROOT', u'punct', u'ROOT', u'case', u'nummod', u'nmod:on', u'case', u'nmod:with', u'case', u'det', u'nmod:to']",False
0955-2,6,director,F,"[u'CD', u'.', u'NN', u'VBG', u'RP', u'JJ', u'TO', u'DT', u'NN']",9,False,2,0,1,1,0,1,1,1,1,"[u'ROOT', u'punct', u'ROOT', u'nsubj', u'acl', u'compound:prt', u'case', u'det', u'nmod:to']",True
4459-4,1,director,I,"[u'#', u'CD', u'NN', u'IN', u'CD', u'NN', u',', u'JJ', u'NN', u'VBD', u'NN']",11,False,4,1,1,0,0,1,0,2,0,"[u'ROOT', u'dep', u'nsubj', u'acl', u'case', u'nummod', u'nmod:on', u'punct', u'amod', u'appos', u'advmod']",True
4459-4,1,director,G,"[u'#', u'CD', u'NN', u'VBD', u'NNP']",5,False,2,0,1,0,0,0,0,1,0,"[u'ROOT', u'compound', u'amod', u'nsubj', u'dobj']",False
4459-4,1,director,L,"[u'#', u'CD', u'NN']",3,False,1,0,0,0,0,0,0,1,0,"[u'ROOT', u'compound', u'amod']",False
4459-4,1,director,K,"[u'#', u'CD', u'NN', u'-LRB-', u'JJ', u'TO', u'VB', u'JJ', u'-RRB-']",9,True,1,0,1,0,0,2,0,1,1,"[u'ROOT', u'dep', u'nsubj', u'punct', u'dep', u'mark', u'xcomp', u'xcomp', u'punct']",False
4459-4,1,director,C,"[u'#', u'CD', u'NN', u'VBD', u'NNP', u',', u'DT', u'NNS', u'VBD']",9,True,3,0,2,1,0,0,0,1,0,"[u'ROOT', u'compound', u'amod', u'nsubj', u'advmod', u'punct', u'det', u'nsubj', u'ccomp']",False
4459-4,1,director,B,"[u'#', u'CD', u'VBG', u'NN', u'IN']",5,False,1,1,1,0,0,0,0,1,0,"[u'ROOT', u'compound', u'dep', u'advmod', u'case']",False
4459-4,1,director,G,"[u'#', u'CD', u'TO', u'VB', u'TO', u'DT', u',', u'JJ', u',', u'CD', u'NN', u'VBD']",12,False,1,0,2,1,0,1,0,2,2,"[u'ROOT', u'compound', u'mark', u'dep', u'case', u'nmod:to', u'punct', u'appos', u'punct', u'nummod', u'dobj', u'acl']",True
4459-4,1,director,D,"[u'#', u'CD', u'NN', u'NN', u'-LRB-', u'NN', u'-RRB-', u'VBG', u'NN']",9,False,4,0,1,0,0,0,0,1,0,"[u'ROOT', u'compound', u'amod', u'compound', u'nsubj', u'punct', u'appos', u'punct', u'advmod']",False
4459-4,1,director,E,"[u'#', u'CD', u'NNP', u'VBG']",4,False,1,0,1,0,0,0,0,1,0,"[u'ROOT', u'compound', u'compound', u'dep']",False
4459-4,1,director,B,"[u'#', u'CD', u'DT', u'NNS', u'VBP', u'VBN']",6,False,1,0,2,1,0,0,0,1,0,"[u'ROOT', u'dep', u'det', u'nsubjpass', u'auxpass', u'acl:relcl']",True
4459-4,1,director,H,"[u'#', u'CD', u'NN']",3,False,1,0,0,0,0,0,0,1,0,"[u'ROOT', u'compound', u'amod']",False
4459-4,1,director,J,"[u'#', u'CD', u'NN', u'VBG']",4,False,1,0,1,0,0,0,0,1,0,"[u'ROOT', u'compound', u'compound', u'dep']",False
4459-4,1,director,A,"[u'#', u'CD', u'NN', u'VBG', u'RB', u',', u'NN', u'VBD', u'RB', u',', u'NNS', u'NN', u'JJ', u'NN', u'IN', u'NN']",16,True,6,1,2,0,0,1,2,1,0,"[u'ROOT', u'compound', u'amod', u'nsubj', u'acl', u'advmod', u'punct', u'nsubj', u'ccomp', u'punct', u'nsubj', u'ccomp', u'amod', u'dobj', u'case', u'nmod:as']",True
4459-4,1,director,F,"[u'#', u'CD', u'VBG', u'VBG', u'VBN']",5,True,0,0,3,0,0,0,0,1,0,"[u'ROOT', u'dep', u'nsubj', u'acl', u'advcl']",True
4459-4,1,director,H,"[u'#', u'CD', u'NN', u'VBG']",4,False,1,0,1,0,0,0,0,1,0,"[u'ROOT', u'dep', u'advmod', u'amod']",False
4459-4,1,director,K,"[u'#', u'CD', u'VBG', u'VBG', u'NN']",5,False,1,0,2,0,0,0,0,1,0,"[u'ROOT', u'compound', u'compound', u'dep', u'dobj']",False
4459-4,1,director,L,"[u'#', u'CD', u'RB', u'VBG', u'NN']",5,False,1,0,1,0,0,0,1,1,0,"[u'ROOT', u'compound', u'advmod', u'dep', u'dobj']",False
4459-4,1,director,L,"[u'CC', u'RBR', u'JJ', u'VBG']",4,False,0,0,1,0,0,1,1,0,0,"[u'ROOT', u'advmod', u'advmod', u'dep']",False
4459-4,1,matcher,I,"[u'CD', u',', u'NN', u'NN']",4,False,2,0,0,0,0,0,0,1,0,"[u'ROOT', u'punct', u'compound', u'appos']",False
4459-4,1,matcher,A,"[u'CD', u'VBG', u'NN']",3,False,1,0,1,0,0,0,0,1,0,"[u'ROOT', u'nsubj', u'acl']",True
4459-4,1,matcher,H,"[u'CD', u'NN', u'.', u'DT', u'NNS', u'VBG', u'NN']",7,False,3,0,1,1,0,0,0,1,0,"[u'ROOT', u'advmod', u'punct', u'ROOT', u'neg', u'dep', u'dobj']",False
4459-4,1,matcher,B,"[u'CD', u'NN', u'VBG', u'.']",4,False,1,0,1,0,0,0,0,1,0,"[u'ROOT', u'nummod', u'acl', u'punct']",True
4459-4,1,matcher,C,"[u'CD', u'VBG', u'NN']",3,False,1,0,1,0,0,0,0,1,0,"[u'ROOT', u'nsubj', u'acl']",True
4459-4,1,matcher,K,"[u'CD', u'VBG', u'NNS']",3,False,1,0,1,0,0,0,0,1,0,"[u'ROOT', u'nummod', u'nsubj']",False
4459-4,1,matcher,D,"[u'CD', u'NN', u'VBD', u'VBG']",4,True,1,0,2,0,0,0,0,1,0,"[u'ROOT', u'nummod', u'nsubj', u'xcomp']",False
4459-4,1,matcher,E,"[u'CD', u'NN']",2,False,1,0,0,0,0,0,0,1,0,"[u'ROOT', u'nummod']",False
4459-4,1,matcher,G,"[u'CD', u'NN', u'JJ', u'NN']",4,False,2,0,0,0,0,1,0,1,0,"[u'ROOT', u'nummod', u'nsubj', u'dobj']",False
4459-4,1,director,G,"[u'JJ', u',', u'#', u'CD', u'VBZ', u'NN', u'IN']",7,True,1,1,1,0,0,1,0,1,0,"[u'ROOT', u'punct', u'dep', u'nsubj', u'cop', u'ccomp', u'nmod']",False
4459-4,1,matcher,J,"[u'CD', u'NN', u',', u'CD', u'NN', u'NN', u'NN']",7,False,4,0,0,0,0,0,0,2,0,"[u'ROOT', u'nummod', u'punct', u'nummod', u'compound', u'compound', u'appos']",False
4459-4,1,matcher,L,"[u'CD', u'NN', u'JJ', u'NN', u'NN']",5,False,3,0,0,0,0,1,0,1,0,"[u'ROOT', u'compound', u'nmod:npmod', u'amod', u'amod']",False
4459-4,1,matcher,F,"[u'CD', u'VBG', u'NN']",3,False,1,0,1,0,0,0,0,1,0,"[u'ROOT', u'nsubj', u'acl']",True
